,Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetterGrade
190,2014,PUSHMATAHA,ANTLERS,BRANTLY ES,64I013,64I013105,74.0,C
191,2015,PUSHMATAHA,ANTLERS,BRANTLY ES,64I013,64I013105,84.0,B
192,2016,PUSHMATAHA,ANTLERS,BRANTLY ES,64I013,64I013105,82.0,B-
193,2013,PUSHMATAHA,ANTLERS,OBUCH MS,64I013,64I013510,83.0,B
194,2014,PUSHMATAHA,ANTLERS,OBUCH MS,64I013,64I013510,80.0,B-
195,2015,PUSHMATAHA,ANTLERS,OBUCH MS,64I013,64I013510,62.0,D-
196,2016,PUSHMATAHA,ANTLERS,OBUCH MS,64I013,64I013510,62.0,D-
197,2013,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,20I005,20I005105,96.0,A
198,2014,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,20I005,20I005105,90.0,A-
199,2015,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,20I005,20I005105,86.0,B
200,2016,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,20I005,20I005105,89.0,B+
201,2013,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,20I005,20I005715,104.0,A+
202,2014,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,20I005,20I005715,91.0,A-
203,2015,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,20I005,20I005715,92.0,A-
204,2016,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,20I005,20I005715,92.0,A-
205,2013,CARTER,ARDMORE,ARDMORE HS,10I019,10I019705,79.0,C+
206,2014,CARTER,ARDMORE,ARDMORE HS,10I019,10I019705,70.0,C-
207,2015,CARTER,ARDMORE,ARDMORE HS,10I019,10I019705,68.0,D+
208,2016,CARTER,ARDMORE,ARDMORE HS,10I019,10I019705,63.0,D
209,2013,CARTER,ARDMORE,ARDMORE MS,10I019,10I019505,68.0,D+
210,2014,CARTER,ARDMORE,ARDMORE MS,10I019,10I019505,67.0,D+
211,2015,CARTER,ARDMORE,ARDMORE MS,10I019,10I019505,63.0,D
212,2016,CARTER,ARDMORE,ARDMORE MS,10I019,10I019505,62.0,D-
213,2013,CARTER,ARDMORE,CHARLES EVANS ES,10I019,10I019110,61.0,D-
214,2014,CARTER,ARDMORE,CHARLES EVANS ES,10I019,10I019110,59.0,F
215,2015,CARTER,ARDMORE,CHARLES EVANS ES,10I019,10I019110,63.0,D
216,2016,CARTER,ARDMORE,CHARLES EVANS ES,10I019,10I019110,70.0,C-
217,2013,CARTER,ARDMORE,JEFFERSON ES,10I019,10I019120,78.0,C+
218,2014,CARTER,ARDMORE,JEFFERSON ES,10I019,10I019120,76.0,C
219,2015,CARTER,ARDMORE,JEFFERSON ES,10I019,10I019120,75.0,C
220,2016,CARTER,ARDMORE,JEFFERSON ES,10I019,10I019120,69.0,D+
221,2013,CARTER,ARDMORE,LINCOLN ES,10I019,10I019125,83.0,B
222,2014,CARTER,ARDMORE,LINCOLN ES,10I019,10I019125,71.0,C-
223,2015,CARTER,ARDMORE,LINCOLN ES,10I019,10I019125,79.0,C+
224,2016,CARTER,ARDMORE,LINCOLN ES,10I019,10I019125,78.0,C+
229,2013,LE FLORE,ARKOMA,ARKOMA HS,40I091,40I091715,82.0,B-
230,2014,LE FLORE,ARKOMA,ARKOMA HS,40I091,40I091715,70.0,C-
231,2015,LE FLORE,ARKOMA,ARKOMA HS,40I091,40I091715,85.0,B
232,2016,LE FLORE,ARKOMA,ARKOMA HS,40I091,40I091715,80.0,B-
233,2015,LE FLORE,ARKOMA,ARKOMA JHS,40I091,40I091605,74.0,C
234,2016,LE FLORE,ARKOMA,ARKOMA JHS,40I091,40I091605,77.0,C+
235,2013,LE FLORE,ARKOMA,SINGLETON ES,40I091,40I091105,68.0,D+
236,2014,LE FLORE,ARKOMA,SINGLETON ES,40I091,40I091105,75.0,C
237,2015,LE FLORE,ARKOMA,SINGLETON ES,40I091,40I091205,76.0,C
238,2016,LE FLORE,ARKOMA,SINGLETON ES,40I091,40I091205,72.0,C-
239,2013,ELLIS,ARNETT,ARNETT ES,23I003,23I003105,81.0,B-
240,2014,ELLIS,ARNETT,ARNETT ES,23I003,23I003105,79.0,C+
241,2015,ELLIS,ARNETT,ARNETT ES,23I003,23I003105,66.0,D
242,2016,ELLIS,ARNETT,ARNETT ES,23I003,23I003105,73.0,C
243,2013,ELLIS,ARNETT,ARNETT HS,23I003,23I003705,93.0,A
244,2014,ELLIS,ARNETT,ARNETT HS,23I003,23I003705,98.0,A+
245,2015,ELLIS,ARNETT,ARNETT HS,23I003,23I003705,93.0,A
246,2016,ELLIS,ARNETT,ARNETT HS,23I003,23I003705,93.0,A
247,2013,POTTAWATOMIE,ASHER,ASHER ES,63I112,63I112105,75.0,C
248,2014,POTTAWATOMIE,ASHER,ASHER ES,63I112,63I112105,73.0,C
249,2015,POTTAWATOMIE,ASHER,ASHER ES,63I112,63I112105,69.0,D+
250,2016,POTTAWATOMIE,ASHER,ASHER ES,63I112,63I112105,77.0,C+
251,2013,POTTAWATOMIE,ASHER,ASHER HS,63I112,63I112705,83.0,B
252,2014,POTTAWATOMIE,ASHER,ASHER HS,63I112,63I112705,87.0,B+
253,2015,POTTAWATOMIE,ASHER,ASHER HS,63I112,63I112705,80.0,B-
254,2016,POTTAWATOMIE,ASHER,ASHER HS,63I112,63I112705,81.0,B-
255,2015,OKLAHOMA,ASTEC CHARTERS,ASTEC CHARTER HS,55E004,55E004972,96.0,A
256,2016,OKLAHOMA,ASTEC CHARTERS,ASTEC CHARTER HS,55E004,55E004972,85.0,B
257,2015,OKLAHOMA,ASTEC CHARTERS,ASTEC CHARTER MS,55E004,55E004971,70.0,C-
258,2016,OKLAHOMA,ASTEC CHARTERS,ASTEC CHARTER MS,55E004,55E004971,66.0,D
259,2013,ATOKA,ATOKA,ATOKA ES,03I015,03I015120,69.0,D+
260,2014,ATOKA,ATOKA,ATOKA ES,3I015,03I015120,76.0,C
261,2015,ATOKA,ATOKA,ATOKA ES,03I015,03I015120,79.0,C+
262,2016,ATOKA,ATOKA,ATOKA ES,03I015,03I015120,80.0,B-
263,2013,ATOKA,ATOKA,ATOKA HS,03I015,03I015705,71.0,C-
264,2014,ATOKA,ATOKA,ATOKA HS,3I015,03I015705,82.0,B-
265,2015,ATOKA,ATOKA,ATOKA HS,03I015,03I015705,72.0,C-
266,2016,ATOKA,ATOKA,ATOKA HS,03I015,03I015705,68.0,D+
267,2013,ATOKA,ATOKA,MCCALL MS,03I015,03I015505,63.0,D
268,2014,ATOKA,ATOKA,MCCALL MS,3I015,03I015505,55.0,F
269,2015,ATOKA,ATOKA,MCCALL MS,03I015,03I015505,68.0,D+
270,2016,ATOKA,ATOKA,MCCALL MS,03I015,03I015505,74.0,C
271,2013,OSAGE,AVANT,AVANT PUBLIC SCHOOL,57C035,57C035105,69.0,D+
272,2014,OSAGE,AVANT,AVANT PUBLIC SCHOOL,57C035,57C035105,46.0,F
273,2015,OSAGE,AVANT,AVANT PUBLIC SCHOOL,57C035,57C035105,49.0,F
274,2016,OSAGE,AVANT,AVANT PUBLIC SCHOOL,57C035,57C035105,67.0,D+
275,2013,BEAVER,BALKO,BALKO ES,04I075,04I075105,73.0,C
276,2014,BEAVER,BALKO,BALKO ES,4I075,04I075105,71.0,C-
277,2015,BEAVER,BALKO,BALKO ES,04I075,04I075105,84.0,B
278,2016,BEAVER,BALKO,BALKO ES,04I075,04I075105,84.0,B
279,2013,BEAVER,BALKO,BALKO HS,04I075,04I075705,101.0,A+
280,2014,BEAVER,BALKO,BALKO HS,4I075,04I075705,91.0,A-
281,2015,BEAVER,BALKO,BALKO HS,04I075,04I075705,71.0,C-
282,2016,BEAVER,BALKO,BALKO HS,04I075,04I075705,66.0,D
283,2013,CANADIAN,BANNER,BANNER PUBLIC SCHOOL,09C031,09C031105,85.0,B
284,2014,CANADIAN,BANNER,BANNER PUBLIC SCHOOL,9C031,09C031105,90.0,A-
285,2015,CANADIAN,BANNER,BANNER PUBLIC SCHOOL,09C031,09C031105,86.0,B
286,2016,CANADIAN,BANNER,BANNER PUBLIC SCHOOL,09C031,09C031105,87.0,B+
287,2013,OSAGE,BARNSDALL,BARNSDALL ES,57I029,57I029105,74.0,C
288,2014,OSAGE,BARNSDALL,BARNSDALL ES,57I029,57I029105,76.0,C
289,2015,OSAGE,BARNSDALL,BARNSDALL ES,57I029,57I029105,82.0,B-
290,2016,OSAGE,BARNSDALL,BARNSDALL ES,57I029,57I029105,87.0,B+
291,2013,OSAGE,BARNSDALL,BARNSDALL HS,57I029,57I029715,88.0,B+
292,2014,OSAGE,BARNSDALL,BARNSDALL HS,57I029,57I029715,83.0,B
293,2015,OSAGE,BARNSDALL,BARNSDALL HS,57I029,57I029715,68.0,D+
294,2016,OSAGE,BARNSDALL,BARNSDALL HS,57I029,57I029715,72.0,C-
295,2013,OSAGE,BARNSDALL,BARNSDALL JHS,57I029,57I029615,74.0,C
296,2014,OSAGE,BARNSDALL,BARNSDALL JHS,57I029,57I029615,66.0,D
297,2015,OSAGE,BARNSDALL,BARNSDALL JHS,57I029,57I029615,65.0,D
298,2016,OSAGE,BARNSDALL,BARNSDALL JHS,57I029,57I029615,66.0,D
299,2013,WASHINGTON,BARTLESVILLE,BARTLESVILLE HS,74I030,74I030705,94.0,A
300,2014,WASHINGTON,BARTLESVILLE,BARTLESVILLE HS,74I030,74I030705,97.0,A+
301,2015,WASHINGTON,BARTLESVILLE,BARTLESVILLE HS,74I030,74I030705,93.0,A
302,2016,WASHINGTON,BARTLESVILLE,BARTLESVILLE HS,74I030,74I030705,81.0,B-
303,2013,WASHINGTON,BARTLESVILLE,BARTLESVILLE MHS,74I030,74I030710,95.0,A
304,2014,WASHINGTON,BARTLESVILLE,BARTLESVILLE MHS,74I030,74I030710,97.0,A+
305,2015,WASHINGTON,BARTLESVILLE,BARTLESVILLE MHS,74I030,74I030710,91.0,A-
306,2013,WASHINGTON,BARTLESVILLE,CENTRAL MS,74I030,74I030505,87.0,B+
307,2014,WASHINGTON,BARTLESVILLE,CENTRAL MS,74I030,74I030505,83.0,B
308,2015,WASHINGTON,BARTLESVILLE,CENTRAL MS,74I030,74I030505,82.0,B-
309,2016,WASHINGTON,BARTLESVILLE,CENTRAL MS,74I030,74I030505,82.0,B-
310,2013,WASHINGTON,BARTLESVILLE,HOOVER ES,74I030,74I030120,88.0,B+
311,2014,WASHINGTON,BARTLESVILLE,HOOVER ES,74I030,74I030120,90.0,A-
