RecordNumber,Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ELA_ExamCount,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCount,Math_GrowthIndex,Math_LetterGrade,OverallExamCount,OverallGrowthIndex,OverallLetterGrade
1460,2015,68,C001,105,68C001105,LIBERTY,"LIBERTY PUBLIC SCHOOL",30,63,"D    ",30,87,"B    ",60,75,"C    "
5046,2016,68,C001,105,68C001105,LIBERTY,"LIBERTY PUBLIC SCHOOL",29,34,"F    ",29,59,"F    ",58,47,"F    "
2303,2014,25,I009,105,25I009105,Lindsay,"Lindsay ES",39,41,"F    ",39,38,"F    ",78,40,"F    "
513,2015,25,I009,105,25I009105,LINDSAY,"LINDSAY ES",39,67,"D    ",39,51,"F    ",78,59,"F    "
4098,2016,25,I009,105,25I009105,LINDSAY,"LINDSAY ES",41,59,"F    ",41,56,"F    ",82,57,"F    "
2305,2014,25,I009,705,25I009705,Lindsay,"Lindsay HS",14,100,"A    ",18,72,"C    ",32,84,"B    "
515,2015,25,I009,705,25I009705,LINDSAY,"LINDSAY HS",16,88,"B    ",19,47,"F    ",35,66,"D    "
4100,2016,25,I009,705,25I009705,LINDSAY,"LINDSAY HS",18,56,"F    ",17,53,"F    ",35,54,"F    "
2304,2014,25,I009,505,25I009505,Lindsay,"Lindsay MS",51,61,"D    ",50,72,"C    ",101,66,"D    "
514,2015,25,I009,505,25I009505,LINDSAY,"LINDSAY MS",60,65,"D    ",60,43,"F    ",120,54,"F    "
4099,2016,25,I009,505,25I009505,LINDSAY,"LINDSAY MS",60,57,"F    ",60,52,"F    ",120,54,"F    "
2094,2014,14,I070,105,14I070105,"Little Axe","Little Axe ES",33,55,"F    ",33,48,"F    ",66,52,"F    "
304,2015,14,I070,105,14I070105,"LITTLE AXE","LITTLE AXE ES",35,60,"D    ",35,49,"F    ",70,54,"F    "
3892,2016,14,I070,105,14I070105,"LITTLE AXE","LITTLE AXE ES",37,35,"F    ",37,49,"F    ",74,42,"F    "
2096,2014,14,I070,715,14I070715,"Little Axe","Little Axe HS",15,87,"B    ",11,91,"A    ",26,88,"B    "
306,2015,14,I070,715,14I070715,"LITTLE AXE","LITTLE AXE HS",14,57,"F    ",14,86,"B    ",28,71,"C    "
3894,2016,14,I070,715,14I070715,"LITTLE AXE","LITTLE AXE HS",20,55,"F    ",24,71,"C    ",44,64,"D    "
2095,2014,14,I070,505,14I070505,"Little Axe","Little Axe MS",55,76,"C    ",50,66,"D    ",105,71,"C    "
305,2015,14,I070,505,14I070505,"LITTLE AXE","LITTLE AXE MS",68,47,"F    ",68,49,"F    ",136,48,"F    "
3893,2016,14,I070,505,14I070505,"LITTLE AXE","LITTLE AXE MS",61,49,"F    ",61,51,"F    ",122,50,"F    "
2597,2014,46,I017,105,46I017105,"Locust Grove","Locust Grove Early Lrning Ctr",38,37,"F    ",39,31,"F    ",77,34,"F    "
807,2015,46,I017,105,46I017105,"LOCUST GROVE","LOCUST GROVE EARLY LRNING CTR",48,50,"F    ",48,42,"F    ",96,46,"F    "
4393,2016,46,I017,105,46I017105,"LOCUST GROVE","LOCUST GROVE EARLY LRNING CTR",49,41,"F    ",49,37,"F    ",98,39,"F    "
2600,2014,46,I017,705,46I017705,"Locust Grove","Locust Grove HS",24,79,"C    ",14,86,"B    ",38,82,"B    "
810,2015,46,I017,705,46I017705,"LOCUST GROVE","LOCUST GROVE HS",22,68,"D    ",24,50,"F    ",46,59,"F    "
4396,2016,46,I017,705,46I017705,"LOCUST GROVE","LOCUST GROVE HS",24,50,"F    ",28,50,"F    ",52,50,"F    "
2599,2014,46,I017,505,46I017505,"Locust Grove","Locust Grove MS",64,58,"F    ",67,52,"F    ",131,55,"F    "
809,2015,46,I017,505,46I017505,"LOCUST GROVE","LOCUST GROVE MS",69,51,"F    ",69,52,"F    ",138,51,"F    "
4395,2016,46,I017,505,46I017505,"LOCUST GROVE","LOCUST GROVE MS",66,41,"F    ",67,33,"F    ",133,37,"F    "
