Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
4306,2016,COAL,COALGATE,15I001,4209,58088.07556,111855.5946,0.099069513,0.211650485,0.510588235,179.25,1,0,0.144902235,0.69273743,0.162360335,0.8159
4307,2016,COAL,TUPELO,15I002,1000,51086.30491,51078.6933,0.052505967,0.236,0.294117647,277,2,0,0.172262774,0.601459854,0.226277372,0.7473
4308,2016,COMANCHE,FLOWER MOUND,16C048,1126,72572.43243,34841.0068,0.070726916,0.072222222,0.282442748,,0,0,0.217391304,0.671809257,0.110799439,0.3243
4309,2016,COMANCHE,BISHOP,16C049,2747,61105.14541,26849.6716,0.097368421,0.185964912,0.30075188,,0,0,0.170441001,0.708581645,0.120977354,0.6287
4310,2016,COMANCHE,CACHE,16I001,8200,93637.81394,61263.0717,0.070836295,0.109390244,0.261165049,93.5,1.4,0,0.266879819,0.677073538,0.056046643,0.4289
4311,2016,COMANCHE,INDIAHOMA,16I002,1515,65772.65774,26046.4824,0.05890411,0.126522327,0.3,,0,0,0.208679594,0.709141274,0.082179132,0.7014
4312,2016,COMANCHE,STERLING,16I003,2095,68146.9679,25449.5471,0.071633238,0.144152745,0.333333333,138.6666667,4.666666667,0,0.227448454,0.694587629,0.077963918,0.5024
4313,2016,COMANCHE,GERONIMO,16I004,3866,57881.87599,55082.8544,0.05654102,0.089774078,0.423469388,110.6666667,1.666666667,0,0.083704974,0.689536878,0.226758148,0.7169
4314,2016,COMANCHE,LAWTON,16I008,93036,55235.60546,30828.0577,0.093815829,0.198843069,0.430566483,48.31612903,1.587096774,12,0.204955398,0.687069844,0.107974758,0.6647
4315,2016,COMANCHE,FLETCHER,16I009,2584,68625.52719,31719.838,0.12522686,0.152647975,0.306818182,241,1.5,0,0.190738699,0.719955899,0.089305402,0.5788
4316,2016,COMANCHE,ELGIN,16I016,8705,91269.06888,31327.2581,0.040928375,0.061859233,0.1875,174.3846154,1.384615385,0,0.271574058,0.633553689,0.094872253,0.3304
4317,2016,COMANCHE,CHATTANOOGA,16I132,1404,57160.17699,44812.3725,0.032467532,0.237179487,0.304761905,112,1.5,0,0.151848152,0.78021978,0.067932068,0.4688
4318,2016,COTTON,WALTERS,17I001,3463,54331.72867,25387.8211,0.089242054,0.18111639,0.341772152,64.63636364,1.454545455,0,0.17039224,0.68747364,0.142134121,0.602
4319,2016,COTTON,TEMPLE,17I101,1357,48280.70175,46739.7239,0.113475177,0.221967963,0.419847328,88.5,1,0,0.098792536,0.701427003,0.199780461,0.8079
4320,2016,COTTON,BIG PASTURE,17I333,1109,59521.15385,47244.6164,0.098360656,0.11632101,0.279069767,,0,0,0.174522293,0.685350318,0.140127389,0.5838
4321,2016,CRAIG,WHITE OAK,18C001,866,52769.27536,154971.2576,0.069053708,0.145496536,0.235294118,,0,0,0.133971292,0.771929825,0.094098884,0.8696
4322,2016,CRAIG,KETCHUM,18I006,3883,53585.06098,101300.8229,0.087402049,0.231225806,0.438709677,298.5,2,0,0.187255251,0.676753293,0.135991456,0.7002
4323,2016,CRAIG,WELCH,18I017,2079,53473.22624,40865.4282,0.042007001,0.145348837,0.22907489,171.5,1.5,0,0.127847171,0.761204996,0.110947832,0.5044
4324,2016,CRAIG,BLUEJACKET,18I020,1466,51605,38207.2732,0.022288262,0.123966942,0.262820513,,0,0,0.132696391,0.695329087,0.171974522,0.6786
4325,2016,CRAIG,VINITA,18I065,9194,48292.10836,32666.7866,0.078669483,0.216193853,0.43315508,50.87096774,2.161290323,0,0.145242837,0.683775088,0.170982074,0.7032
4326,2016,CREEK,LONE STAR,19C008,4857,53354.60199,7983.8613,0.044276967,0.218595041,0.362763916,904,2,0,0.071846554,0.782509753,0.145643693,0.5531
4327,2016,CREEK,GYPSY,19C012,763,51802.54545,58289.9135,0.042735043,0.123197903,0.243589744,,0,0,0.107723577,0.733739837,0.158536585,0.939
4328,2016,CREEK,PRETTY WATER,19C034,1934,67403.34347,34207.5075,0.039378238,0.085372202,0.244680851,,0,0,0.105576208,0.755390335,0.139033457,0.6604
4329,2016,CREEK,ALLEN-BOWDEN,19C035,2941,61915.75283,50670.2161,0.057636888,0.076027397,0.189473684,201.5,2,0,0.126606378,0.708710138,0.164683484,0.7816
4330,2016,CREEK,BRISTOW,19I002,8803,52274.21266,25661.9065,0.094650206,0.203752734,0.295705521,68.5,2.307692308,0,0.130457202,0.729460296,0.140082503,0.7889
4331,2016,CREEK,MANNFORD,19I003,7212,58558.01718,28034.2424,0.049068323,0.129973099,0.403141361,147.4545455,2.636363636,0,0.143816111,0.704637917,0.151545972,0.6652
4332,2016,CREEK,MOUNDS,19I005,3546,58156.76752,28463.4926,0.046747967,0.146625071,0.455421687,587,4,0,0.173327346,0.700942973,0.125729681,0.7308
4333,2016,CREEK,OLIVE,19I017,2520,60251.10132,31836.7712,0.034934498,0.169976172,0.197309417,360,9,0,0.120475113,0.76300905,0.116515837,0.6333
4334,2016,CREEK,KIEFER,19I018,3037,72051.62187,57572.0612,0.049253731,0.130122951,0.279891304,731,2,0,0.203694458,0.678482277,0.117823265,0.5089
4335,2016,CREEK,OILTON,19I020,1568,45553.11973,18593.9026,0.055472264,0.199617347,0.390862944,285,4,0,0.113721805,0.743421053,0.142857143,0.8
4336,2016,CREEK,DEPEW,19I021,1948,59587.89986,78745.7864,0.040659341,0.105208871,0.170588235,180.5,1,0,0.157037037,0.706666667,0.136296296,0.6648
4337,2016,CREEK,KELLYVILLE,19I031,6368,60259.21813,34080.9711,0.043097407,0.170493866,0.315712188,121,2.444444444,0,0.108757062,0.715160075,0.176082863,0.7025
4338,2016,CREEK,SAPULPA,19I033,21592,62074.98782,44933.6577,0.056934454,0.14534085,0.2945845,80.91836735,2.142857143,0,0.176076361,0.675940969,0.14798267,0.6812
4339,2016,CREEK,DRUMRIGHT,19I039,3528,52615.61562,35121.4711,0.05982906,0.145845439,0.440559441,93.33333333,4.5,0,0.174245644,0.672333192,0.153421164,0.8196
4340,2016,CUSTER,ARAPAHO-BUTLER,20I005,1713,63223.37461,65598.5551,0,0.13593455,0.216080402,108.5,1.5,0,0.160608622,0.724429417,0.114961961,0.4309
4341,2016,CUSTER,THOMAS-FAY-CUSTER,20I007,2849,67156.75926,99465.1055,0.014179104,0.190730838,0.197674419,94,2.4,2,0.252947481,0.626473741,0.120578778,0.5
4342,2016,CUSTER,WEATHERFORD,20I026,14201,59883.16888,44082.7954,0.040737894,0.176899463,0.303338171,151.2,1.466666667,0,0.354353133,0.558041768,0.087605099,0.541
