Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetteGrade
2013,Washington,Bartlesville,"Bartlesville HS",74I030,74I030705,94,A
2014,Washington,Bartlesville,"Bartlesville HS",74I030,74I030705,97,A+
2015,WASHINGTON,BARTLESVILLE,"BARTLESVILLE HS",74I030,74I030705,93,A
2016,WASHINGTON,BARTLESVILLE,"BARTLESVILLE HS",74I030,74I030705,81,B-
2013,Washington,Bartlesville,"Bartlesville Mhs",74I030,74I030710,95,A
2014,Washington,Bartlesville,"Bartlesville Mhs",74I030,74I030710,97,A+
2015,WASHINGTON,BARTLESVILLE,"BARTLESVILLE MHS",74I030,74I030710,91,A-
2013,Washington,Bartlesville,"Central MS",74I030,74I030505,87,B+
2014,Washington,Bartlesville,"Central MS",74I030,74I030505,83,B
2015,WASHINGTON,BARTLESVILLE,"CENTRAL MS",74I030,74I030505,82,B-
2016,WASHINGTON,BARTLESVILLE,"CENTRAL MS",74I030,74I030505,82,B-
2013,Washington,Bartlesville,"Hoover ES",74I030,74I030120,88,B+
2014,Washington,Bartlesville,"Hoover ES",74I030,74I030120,90,A-
2015,WASHINGTON,BARTLESVILLE,"HOOVER ES",74I030,74I030120,88,B+
2016,WASHINGTON,BARTLESVILLE,"HOOVER ES",74I030,74I030120,87,B+
2013,Washington,Bartlesville,"Jane Phillips ES",74I030,74I030130,74,C
2014,Washington,Bartlesville,"Jane Phillips ES",74I030,74I030130,68,D+
2015,WASHINGTON,BARTLESVILLE,"JANE PHILLIPS ES",74I030,74I030130,69,D+
2016,WASHINGTON,BARTLESVILLE,"JANE PHILLIPS ES",74I030,74I030130,58,F
2013,Washington,Bartlesville,"Madison MS",74I030,74I030510,86,B
2014,Washington,Bartlesville,"Madison MS",74I030,74I030510,87,B+
2015,WASHINGTON,BARTLESVILLE,"MADISON MS",74I030,74I030510,81,B-
2016,WASHINGTON,BARTLESVILLE,"MADISON MS",74I030,74I030510,84,B
2013,Washington,Bartlesville,"Ranch Heights ES",74I030,74I030160,82,B-
2014,Washington,Bartlesville,"Ranch Heights ES",74I030,74I030160,87,B+
2015,WASHINGTON,BARTLESVILLE,"RANCH HEIGHTS ES",74I030,74I030160,91,A-
2016,WASHINGTON,BARTLESVILLE,"RANCH HEIGHTS ES",74I030,74I030160,94,A
2013,Washington,Bartlesville,"Richard Kane ES",74I030,74I030110,90,A-
2014,Washington,Bartlesville,"Richard Kane ES",74I030,74I030110,78,C+
2015,WASHINGTON,BARTLESVILLE,"RICHARD KANE ES",74I030,74I030110,79,C+
2016,WASHINGTON,BARTLESVILLE,"RICHARD KANE ES",74I030,74I030110,77,C+
2013,Washington,Bartlesville,"Wayside ES",74I030,74I030175,97,A+
2014,Washington,Bartlesville,"Wayside ES",74I030,74I030175,100,A+
2015,WASHINGTON,BARTLESVILLE,"WAYSIDE ES",74I030,74I030175,101,A+
2016,WASHINGTON,BARTLESVILLE,"WAYSIDE ES",74I030,74I030175,95,A
