Year,DistrictName,SchoolName,DistrictKey,DistrictCode,SiteCode,FullCode,DropOutRate,AP_participationIndex,AP_PerformanceIndex,GradRate,LowPerfm_Grade8,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,EOIPerformanceRate,AchievedGrowthTarget,OverallParticipation_County
2016,CANEY,CANEY ES,I026,,105,03I026105,0.05,0.78,,,0,,0,0,0,271
2013,Caney,Caney HS,I026,,705,,,0.73,0.95,0.95,0.95,0.95,0.46,0.54,,125
2014,Caney,Caney HS,I026,,705,03I026705,,0.57,0.95,0.87,0.95,0.47,0.38,0.54,2,117
2015,CANEY,CANEY HS,I026,03I026,705,03I026705,,0.53,0.95,0.82,0.89,0.56,0.22,0.57,3,131
2016,CANEY,CANEY HS,I026,,705,03I026705,,0.76,0.95,0.95,0,0.39,0.33,0.41,4,104
2013,Caney Valley,Caney Valley ES,I018,,110,,,,,,,,,,,386
2014,Caney Valley,Caney Valley ES,I018,,110,74I018110,,,,,,,,,,479
2015,CANEY VALLEY,CANEY VALLEY ES,I018,74I018,110,74I018110,,,,,0,,0,0,0,471
2016,CANEY VALLEY,CANEY VALLEY ES,I018,,110,74I018110,,,,,0,,0,0,0,489
2013,Caney Valley,Caney Valley HS,I018,,705,,,0.95,0.51,0.93,0.83,0.71,0.64,0.3,,301
2014,Caney Valley,Caney Valley HS,I018,,705,74I018705,,0.95,0.16,0.94,0.92,0.78,0.43,0.3,4,324
2015,CANEY VALLEY,CANEY VALLEY HS,I018,74I018,705,74I018705,,0.95,0.95,0.93,0,0.95,0.47,0.65,5,330
2016,CANEY VALLEY,CANEY VALLEY HS,I018,,705,74I018705,,0.11,0.95,0.83,0.74,0.95,0.29,0.73,3,388
2013,Caney Valley,Caney Valley MS,I018,,510,,0.05,0.15,,,,,,,,455
2014,Caney Valley,Caney Valley MS,I018,,510,74I018510,0.05,0.14,,,,,,,,519
2015,CANEY VALLEY,CANEY VALLEY MS,I018,74I018,510,74I018510,0.05,0.09,,,0,,0,0,0,506
2016,CANEY VALLEY,CANEY VALLEY MS,I018,,510,74I018510,0.05,0.05,,,0,,0,0,0,459
2013,Canton,Canton ES,I105,,105,,0.05,0.06,,,,,,,,430
2014,Canton,Canton ES,I105,,105,06I105105,0.05,0.05,,,,,,,,501
2015,CANTON,CANTON ES,I105,06I105,105,06I105105,0.05,0.05,,,0,,0,0,0,570
2016,CANTON,CANTON ES,I105,,105,06I105105,0.05,0.24,,,0,,0,0,0,465
2013,Canton,Canton HS,I105,,705,,,0.64,0.95,0.88,0.9,0.41,0.75,0.52,,167
2014,Canton,Canton HS,I105,,705,06I105705,,0.37,0.95,0.95,0.86,0.75,0.33,0.52,4,175
2015,CANTON,CANTON HS,I105,06I105,705,06I105705,,0.92,0.95,0.95,0,0.95,0.33,0.79,5,145
2016,CANTON,CANTON HS,I105,,705,06I105705,,0.81,0.95,0.86,0.69,0.79,0.52,0.58,2,115
2013,Canute,Canute ES,I011,,105,,0.05,0.05,,,,,,,,373
2014,Canute,Canute ES,I011,,105,75I011105,0.05,0.47,,,,,,,,492
2015,CANUTE,CANUTE ES,I011,75I011,105,75I011105,0.05,0.35,,,0,,0,0,0,550
2016,CANUTE,CANUTE ES,I011,,105,75I011105,0.05,0.33,,,0,,0,0,0,483
2013,Canute,Canute HS,I011,,705,,,0.56,0.92,0.87,0.78,0.45,0.67,0.74,,162
2014,Canute,Canute HS,I011,,705,75I011705,,0.75,0.82,0.66,0.42,0.62,0.62,0.74,2,171
2015,CANUTE,CANUTE HS,I011,75I011,705,75I011705,,0.45,0.95,0.61,0.53,0.92,0.27,0.57,3,183
2016,CANUTE,CANUTE HS,I011,,705,75I011705,,0.86,0.95,0.88,0,0.74,0.61,0.54,4,295
2013,Carnegie,Carnegie ES,I033,,105,,,,,,,,,,,368
2014,Carnegie,Carnegie ES,I033,,105,08I033105,,,,,,,,,,406
2015,CARNEGIE,CARNEGIE ES,I033,08I033,105,08I033105,,,,,0,,0,0,0,368
2016,CARNEGIE,CARNEGIE ES,I033,,105,08I033105,,,,,0,,0,0,0,318
2013,Carnegie,Carnegie HS,I033,,705,,,0.19,0.5,0.82,0.9,0.88,0.43,0.52,,230
2014,Carnegie,Carnegie HS,I033,,705,08I033705,,0.46,0.73,0.85,0.8,0.9,0.42,0.52,3,306
2015,CARNEGIE,CARNEGIE HS,I033,08I033,705,08I033705,,0.67,0.95,0.76,0.71,0.75,0.25,0.72,3,246
2016,CARNEGIE,CARNEGIE HS,I033,,705,08I033705,,0.64,0.95,0.81,0.86,0.81,0.28,0.59,4,262
2013,Carnegie,Carnegie MS,I033,,510,,0.05,0.43,,,,,,,,360
2014,Carnegie,Carnegie MS,I033,,510,08I033510,0.05,0.05,,,,,,,,341
2015,CARNEGIE,CARNEGIE MS,I033,08I033,510,08I033510,0.05,0.13,,,0,,0,0,0,457
2016,CARNEGIE,CARNEGIE MS,I033,,510,08I033510,0.05,0.22,,,0,,0,0,0,360
2013,Carney,Carney ES,I105,,105,,0.05,0.05,,,,,,,,311
2014,Carney,Carney ES,I105,,105,41I105105,0.05,0.05,,,,,,,,296
2015,CARNEY,CARNEY ES,I105,41I105,105,41I105105,0.05,0.05,,,0,,0,0,0,311
2016,CARNEY,CARNEY ES,I105,,105,41I105105,0.05,0.25,,,0,,0,0,0,260
2013,Carney,Carney HS,I105,,705,,,0.55,0.56,0.9,0.75,0.33,0.4,0.5,,99
2014,Carney,Carney HS,I105,,705,41I105705,,0.48,0.19,0.82,0.75,0.71,0.42,0.5,2,101
2015,CARNEY,CARNEY HS,I105,41I105,705,41I105705,,0.31,0.89,0.95,0,0.5,0.5,0.93,5,130
2016,CARNEY,CARNEY HS,I105,,705,41I105705,,0.61,0.95,0.78,0.56,0.57,0.5,0.57,2,150
2013,Cashion,Cashion ES,I089,,105,,0.05,0.1,,,,,,,,630
2014,Cashion,Cashion ES,I089,,105,37I089105,0.05,0.07,,,,,,,,720
2015,CASHION,CASHION ES,I089,37I089,105,37I089105,0.05,0.35,,,0,,0,0,0,731
2016,CASHION,CASHION ES,I089,,105,37I089105,,,,,0,,0,0,0,302
2013,Cashion,Cashion HS,I089,,705,,,0.68,0.71,0.9,0.5,0.79,0.5,0.66,,241
2014,Cashion,Cashion HS,I089,,705,37I089705,,0.31,0.5,0.94,0.94,0.7,0.52,0.66,3,240
2015,CASHION,CASHION HS,I089,37I089,705,37I089705,,0.95,0.95,0.91,0.77,0.86,0.63,0.68,3,252
2016,CASHION,CASHION HS,I089,,705,37I089705,,0.95,0.95,0.95,0.91,0.89,0.5,0.76,5,263
2016,CASHION,CASHION MS,I089,,505,37I089505,0.05,0.95,,,0,,0,0,0,372
2013,Catoosa,Catoosa HS,I002,,705,,,0.55,0.59,0.87,0.93,0.64,0.44,0.42,,1054
2014,Catoosa,Catoosa HS,I002,,705,66I002705,,0.37,0.39,0.8,0.79,0.71,0.57,0.42,2,950
2015,CATOOSA,CATOOSA HS,I002,66I002,705,66I002705,,0.51,0.95,0.82,0.76,0.95,0.35,0.58,3,996
2016,CATOOSA,CATOOSA HS,I002,,705,66I002705,,0.41,0.95,0.87,0.84,0.95,0.31,0.39,4,852
2013,Catoosa,Cherokee ES,I002,,110,,,,,,,,,,,908
2014,Catoosa,Cherokee ES,I002,,110,66I002110,,,,,,,,,,1062
2015,CATOOSA,CHEROKEE ES,I002,66I002,110,66I002110,,,,,0,,0,0,0,1004
2016,CATOOSA,CHEROKEE ES,I002,,110,66I002110,,,,,0,,0,0,0,800
2013,Catoosa,Helen Paul Learning Ctr,I002,,115,,,,,,,,,,,
2014,Catoosa,Helen Paul Learning Ctr,I002,,115,66I002115,,,,,,,,,,
2015,CATOOSA,HELEN PAUL LEARNING CTR,I002,66I002,115,66I002115,,,,,0,,0,0,0,322
2016,CATOOSA,HELEN PAUL LEARNING CTR,I002,,115,66I002115,,,,,0,,0,0,0,272
2015,CATOOSA,J. W. SAM ES,I002,66I002,105,66I002105,,,,,0,,0,0,0,322
2016,CATOOSA,J. W. SAM ES,I002,,105,66I002105,,,,,0,,0,0,0,272
2013,Catoosa,J.W.Sam ES,I002,,105,,,,,,,,,,,304
2014,Catoosa,J.W.Sam ES,I002,,105,66I002105,,,,,,,,,,294
2013,Catoosa,Wells MS,I002,,510,,0.05,0.95,,,,,,,,1313
2014,Catoosa,Wells MS,I002,,510,66I002510,0.05,0.78,,,,,,,,1526
2015,CATOOSA,WELLS MS,I002,66I002,510,66I002510,0.05,0.81,,,0,,0,0,0,1706
2016,CATOOSA,WELLS MS,I002,,510,66I002510,0.05,0.72,,,0,,0,0,0,1431
2013,Cave Springs,Cave Springs ES,I030,,105,,0.05,0.19,,,,,,,,125
2014,Cave Springs,Cave Springs ES,I030,,105,01I030105,0.05,0.13,,,,,,,,163
2015,CAVE SPRINGS,CAVE SPRINGS ES,I030,01I030,105,01I030105,0.05,0.05,,,0,,0,0,0,204
2016,CAVE SPRINGS,CAVE SPRINGS ES,I030,,105,01I030105,,,,,0,,0,0,0,26
2013,Cave Springs,Cave Springs HS,I030,,705,,,0.09,0.95,0.95,0.95,0.27,0.25,0.29,,165
2014,Cave Springs,Cave Springs HS,I030,,705,01I030705,,0.05,,0.7,0.73,0.41,0.05,0.29,1,160
2015,CAVE SPRINGS,CAVE SPRINGS HS,I030,01I030,705,01I030705,,0.17,0.95,0.82,0.9,0.38,0.13,0.11,4,167
2016,CAVE SPRINGS,CAVE SPRINGS HS,I030,,705,01I030705,,0.05,0.95,0.61,0.58,0.3,0,0.26,3,184
2016,CAVE SPRINGS,CAVE SPRINGS MS,I030,,505,01I030505,0.05,0.32,,,0,,0,0,0,144
2013,Cement,Cement ES,I160,,105,,0.05,0.3,,,,,,,,281
2014,Cement,Cement ES,I160,,105,08I160105,0.05,0.26,,,,,,,,329
2015,CEMENT,CEMENT ES,I160,08I160,105,08I160105,0.05,0.18,,,0,,0,0,0,316
2016,CEMENT,CEMENT ES,I160,,105,08I160105,0.05,0.5,,,0,,0,0,0,343
2013,Cement,Cement HS,I160,,715,,,0.95,0.95,0.88,0.75,0.55,0.25,0.48,,144
2014,Cement,Cement HS,I160,,715,08I160715,,0.95,0.8,0.95,0.95,0.55,0.33,0.48,4,150
2015,CEMENT,CEMENT HS,I160,08I160,715,08I160715,,0.33,0.95,0.95,0,0.95,0.27,0.08,4,94
2016,CEMENT,CEMENT HS,I160,,715,08I160715,,0.61,0.95,0.84,0.75,0.9,0.21,0.25,3,94
2013,Central,Central ES,I007,,105,,0.05,0.95,,,,,,,,530
2014,Central,Central ES,I007,,105,68I007105,0.05,0.95,,,,,,,,570
2015,CENTRAL,CENTRAL ES,I007,68I007,105,68I007105,0.05,0.95,,,0,,0,0,0,594
2016,CENTRAL,CENTRAL ES,I007,,105,68I007105,0.05,0.95,,,0,,0,0,0,527
2013,Central,Central HS,I007,,705,,,0.44,0.95,0.95,0.95,0.82,0.38,0.68,,293
2014,Central,Central HS,I007,,705,68I007705,,0.95,0.54,0.95,0.95,0.63,0.53,0.68,4,293
2015,CENTRAL,CENTRAL HS,I007,68I007,705,68I007705,,0.95,0.95,0.95,0,0.73,0.56,0.82,5,291
2016,CENTRAL,CENTRAL HS,I007,,705,68I007705,,0.73,0.95,0.93,0.86,0.73,0.5,0.79,4,316
2013,Central High,Central High ES,I034,,105,,,,,,,,,,,287
2014,Central High,Central High ES,I034,,105,69I034105,,,,,,,,,,362
2015,CENTRAL HIGH,CENTRAL HIGH ES,I034,69I034,105,69I034105,,,,,0,,0,0,0,345
2016,CENTRAL HIGH,CENTRAL HIGH ES,I034,,105,69I034105,,,,,0,,0,0,0,298
2013,Central High,Central High HS,I034,,705,,,0.91,0.9,0.95,0.95,0.63,0.5,0.38,,241
2014,Central High,Central High HS,I034,,705,69I034705,,0.61,0.5,0.95,0.95,0.86,0.38,0.38,4,211
2015,CENTRAL HIGH,CENTRAL HIGH HS,I034,69I034,705,69I034705,,0.69,0.95,0.95,0,0.94,0.41,0.78,5,209
2016,CENTRAL HIGH,CENTRAL HIGH HS,I034,,705,69I034705,,0.95,0.95,0.95,0,0.77,0.48,0.74,4,157
2013,Central High,Central High JHS,I034,,600,,0.05,0.06,,,,,,,,166
2014,Central High,Central High JHS,I034,,600,69I034600,0.05,0.05,,,,,,,,228
2015,CENTRAL HIGH,CENTRAL HIGH JHS,I034,69I034,600,69I034600,0.05,0.07,,,0,,0,0,0,237
2016,CENTRAL HIGH,CENTRAL HIGH JHS,I034,,600,69I034600,0.05,0.24,,,0,,0,0,0,241
2013,Chandler,Chandler HS,I001,,705,,,0.5,0.79,0.89,0.76,0.64,0.5,0.68,,494
2014,Chandler,Chandler HS,I001,,705,41I001705,,0.55,0.39,0.95,0.95,0.63,0.79,0.68,4,398
2015,CHANDLER,CHANDLER HS,I001,41I001,705,41I001705,,0.46,0.95,0.86,0.84,0.7,0.61,0.64,2,424
2016,CHANDLER,CHANDLER HS,I001,,705,41I001705,,0.95,0.95,0.9,0.92,0.68,0.63,0.62,4,425
2013,Chandler,Chandler JHS,I001,,610,,0.05,0.63,,,,,,,,484
2014,Chandler,Chandler JHS,I001,,610,41I001610,0.05,0.95,,,,,,,,605
2015,CHANDLER,CHANDLER JHS,I001,41I001,610,41I001610,0.05,0.83,,,0,,0,0,0,700
2016,CHANDLER,CHANDLER JHS,I001,,610,41I001610,0.05,0.92,,,0,,0,0,0,614
2013,Chandler,East Side ES,I001,,110,,,,,,,,,,,
2014,Chandler,East Side ES,I001,,110,41I001110,,,,,,,,,,
2015,CHANDLER,EAST SIDE ES,I001,41I001,110,41I001110,,,,,0,,0,0,0,965
2016,CHANDLER,EAST SIDE ES,I001,,110,41I001110,,,,,0,,0,0,0,932
2013,Chandler,Park Road ES,I001,,120,,,,,,,,,,,826
2014,Chandler,Park Road ES,I001,,120,41I001120,,,,,,,,,,910
2015,CHANDLER,PARK ROAD ES,I001,41I001,120,41I001120,,,,,0,,0,0,0,965
2016,CHANDLER,PARK ROAD ES,I001,,120,41I001120,,,,,0,,0,0,0,932
2013,Chattanooga,Chattanooga ES,I132,,105,,0.05,0.05,,,,,,,,255
2014,Chattanooga,Chattanooga ES,I132,,105,16I132105,0.05,0.05,,,,,,,,288
2015,CHATTANOOGA,CHATTANOOGA ES,I132,16I132,105,16I132105,0.05,0.05,,,0,,0,0,0,287
2016,CHATTANOOGA,CHATTANOOGA ES,I132,,105,16I132105,0.05,0.05,,,0,,0,0,0,273
2013,Chattanooga,Chattanooga HS,I132,,705,,,0.27,0.63,0.95,0.75,0.81,0.67,0.83,,153
2014,Chattanooga,Chattanooga HS,I132,,705,16I132705,,0.38,0.94,0.95,0.88,0.79,0.74,0.83,5,125
2015,CHATTANOOGA,CHATTANOOGA HS,I132,16I132,705,16I132705,,0.36,0.95,0.92,0.82,0.89,0.53,0.77,3,124
2016,CHATTANOOGA,CHATTANOOGA HS,I132,,705,16I132705,,0.24,0.95,0.95,0.75,0.81,0.47,0.9,4,108
2013,Checotah,Checotah HS,I019,,705,,,0.4,0.6,0.88,0.88,0.6,0.5,0.59,,707
2014,Checotah,Checotah HS,I019,,705,49I019705,,0.45,0.5,0.95,0.9,0.63,0.5,0.59,3,725
2015,CHECOTAH,CHECOTAH HS,I019,49I019,705,49I019705,,0.44,0.95,0.86,0.84,0.92,0.31,0.53,2,744
2016,CHECOTAH,CHECOTAH HS,I019,,705,49I019705,,0.35,0.95,0.86,0.76,0.95,0.27,0.44,2,755
2013,Checotah,Checotah Intermediate ES,I019,,112,,,,,,,,,,,881
2014,Checotah,Checotah Intermediate ES,I019,,112,49I019112,,,,,,,,,,887
2015,CHECOTAH,CHECOTAH INTERMEDIATE ES,I019,49I019,112,49I019112,,,,,0,,0,0,0,898
2016,CHECOTAH,CHECOTAH INTERMEDIATE ES,I019,,112,49I019112,,,,,0,,0,0,0,785
2013,Checotah,Checotah MS,I019,,505,,0.05,0.32,,,,,,,,928
2014,Checotah,Checotah MS,I019,,505,49I019505,0.05,0.23,,,,,,,,931
2015,CHECOTAH,CHECOTAH MS,I019,49I019,505,49I019505,0.05,0.05,,,0,,0,0,0,1108
2016,CHECOTAH,CHECOTAH MS,I019,,505,49I019505,0.05,0.93,,,0,,0,0,0,1033
2013,Checotah,Marshall ES,I019,,110,,,,,,,,,,,
2014,Checotah,Marshall ES,I019,,110,49I019110,,,,,,,,,,
2015,CHECOTAH,MARSHALL ES,I019,49I019,110,49I019110,,,,,0,,0,0,0,898
2016,CHECOTAH,MARSHALL ES,I019,,110,49I019110,,,,,0,,0,0,0,785
2014,Chelsea,Art Goad ES,I003,,110,66I003110,,,,,,,,,,543
2015,CHELSEA,ART GOAD ES,I003,66I003,110,66I003110,,,,,0,,0,0,0,578
2016,CHELSEA,ART GOAD ES,I003,,110,66I003110,,,,,0,,0,0,0,534
2013,Chelsea,Art Goad Intermediate ES,I003,,110,,,,,,,,,,,515
2013,Chelsea,Chelsea HS,I003,,705,,,0.43,0.95,0.62,0.73,0.74,0.44,0.5,,378
2014,Chelsea,Chelsea HS,I003,,705,66I003705,,0.11,0.85,0.81,0.65,0.65,0.47,0.5,2,437
2015,CHELSEA,CHELSEA HS,I003,66I003,705,66I003705,,0.08,0.9,0.81,0.75,0.54,0.46,0.48,2,437
2016,CHELSEA,CHELSEA HS,I003,,705,66I003705,,0.13,0.89,0.86,0.83,0.59,0.35,0.31,4,455
2013,Chelsea,Chelsea MS,I003,,510,,0.05,0.05,,,,,,,,582
2014,Chelsea,Chelsea MS,I003,,510,66I003510,0.05,0.05,,,,,,,,654
2015,CHELSEA,CHELSEA MS,I003,66I003,510,66I003510,0.05,0.05,,,0,,0,0,0,589
2016,CHELSEA,CHELSEA MS,I003,,510,66I003510,0.05,0.05,,,0,,0,0,0,508
2013,Cherokee,Cherokee ES,I046,,105,,,,,,,,,,,210
2014,Cherokee,Cherokee ES,I046,,105,02I046105,,,,,,,,,,292
2015,CHEROKEE,CHEROKEE ES,I046,02I046,105,02I046105,,,,,0,,0,0,0,251
2016,CHEROKEE,CHEROKEE ES,I046,,105,02I046105,,,,,0,,0,0,0,260
2013,Cherokee,Cherokee HS,I046,,705,,,0.46,0.95,0.83,0.8,0.81,0.54,0.56,,185
2014,Cherokee,Cherokee HS,I046,,705,02I046705,,0.3,0.95,0.95,0.95,0.62,0.54,0.63,4,187
2015,CHEROKEE,CHEROKEE HS,I046,02I046,705,02I046705,,0.25,0.95,0.88,0.93,0.91,0.48,0.64,3,178
2016,CHEROKEE,CHEROKEE HS,I046,,705,02I046705,,0.59,0.95,0.79,0,0.82,0.52,0.73,4,111
2013,Cherokee,Cherokee MS,I046,,510,,0.05,0.18,,,,,,,,214
2014,Cherokee,Cherokee MS,I046,,510,02I046510,0.05,0.09,,,,,,,,176
2015,CHEROKEE,CHEROKEE MS,I046,02I046,510,02I046510,0.05,0.05,,,0,,0,0,0,258
2016,CHEROKEE,CHEROKEE MS,I046,,510,02I046510,0.05,0.29,,,0,,0,0,0,263
2013,Cherokee Immersion Charter Sch,Cherokee Immersion Charter Sch,T001,,971,,0.05,0.05,,,,,,,,194
2014,Cherokee Immersion Charter Sch,Cherokee Immersion Charter Sch,T001,,971,11T001971,0.05,0.05,,,,,,,,299
2015,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,T001,11T001,971,11T001971,0.05,0.05,,,0,,0,0,0,249
2016,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,T001,,971,11T001971,0.05,0.05,,,0,,0,0,0,221
2013,Cheyenne,Cheyenne ES,I007,,105,,0.05,0.18,,,,,,,,367
2014,Cheyenne,Cheyenne ES,I007,,105,65I007105,0.05,0.1,,,,,,,,452
2015,CHEYENNE,CHEYENNE ES,I007,65I007,105,65I007105,0.05,0.1,,,0,,0,0,0,492
2016,CHEYENNE,CHEYENNE ES,I007,,105,65I007105,0.05,0.1,,,0,,0,0,0,426
2013,Cheyenne,Cheyenne HS,I007,,705,,,0.21,0.95,0.67,0.95,0.71,0.5,0.5,,137
2014,Cheyenne,Cheyenne HS,I007,,705,65I007705,,0.55,0.95,0.89,0.86,0.68,0.69,0.5,4,119
2015,CHEYENNE,CHEYENNE HS,I007,65I007,705,65I007705,,0.43,0.95,0.74,0,0.87,0.5,0.82,4,126
2016,CHEYENNE,CHEYENNE HS,I007,,705,65I007705,,0.53,0.95,0.86,0.89,0.91,0.8,0.75,4,140
2013,Chickasha,Bill Wallace Ec Ctr,I001,,120,,,,,,,,,,,
2014,Chickasha,Bill Wallace Ec Ctr,I001,,120,26I001120,,,,,,,,,,
2015,CHICKASHA,BILL WALLACE EC CTR,I001,26I001,120,26I001120,,,,,0,,0,0,0,700
2016,CHICKASHA,BILL WALLACE EC CTR,I001,,120,26I001120,,,,,0,,0,0,0,719
2013,Chickasha,Chickasha HS,I001,,705,,,0.76,0.54,0.71,0.66,0.58,0.65,0.81,,1064
2014,Chickasha,Chickasha HS,I001,,705,26I001705,,0.6,0.63,0.85,0.85,0.95,0.32,0.81,5,1057
2015,CHICKASHA,CHICKASHA HS,I001,26I001,705,26I001705,,0.64,0.95,0.76,0.69,0.58,0.63,0.73,2,1143
2016,CHICKASHA,CHICKASHA HS,I001,,705,26I001705,,0.77,0.95,0.72,0.71,0.66,0.49,0.77,3,1007
2013,Chickasha,Chickasha MS,I001,,510,,0.05,0.81,,,,,,,,1039
2014,Chickasha,Chickasha MS,I001,,510,26I001510,0.05,0.53,,,,,,,,1224
2015,CHICKASHA,CHICKASHA MS,I001,26I001,510,26I001510,0.05,0.54,,,0,,0,0,0,1325
2016,CHICKASHA,CHICKASHA MS,I001,,510,26I001510,0.05,0.77,,,0,,0,0,0,1125
2013,Chickasha,Grand Avenue ES,I001,,105,,,,,,,,,,,672
2014,Chickasha,Grand Avenue ES,I001,,105,26I001105,,,,,,,,,,660
2015,CHICKASHA,GRAND AVENUE ES,I001,26I001,105,26I001105,,,,,0,,0,0,0,700
2016,CHICKASHA,GRAND AVENUE ES,I001,,105,26I001105,,,,,0,,0,0,0,719
2013,Chickasha,Lincoln ES,I001,,115,,,,,,,,,,,1029
2014,Chickasha,Lincoln ES,I001,,115,26I001115,,,,,,,,,,1100
2015,CHICKASHA,LINCOLN ES,I001,26I001,115,26I001115,,,,,0,,0,0,0,1153
2016,CHICKASHA,LINCOLN ES,I001,,115,26I001115,,,,,0,,0,0,0,963
2013,Chisholm,Chisholm ES,I042,,105,,,,,,,,,,,520
2014,Chisholm,Chisholm ES,I042,,105,24I042105,,,,,,,,,,613
2015,CHISHOLM,CHISHOLM ES,I042,24I042,105,24I042105,,,,,0,,0,0,0,648
2016,CHISHOLM,CHISHOLM ES,I042,,105,24I042105,,,,,0,,0,0,0,602
2013,Chisholm,Chisholm HS,I042,,705,,,0.41,0.8,0.87,0.93,0.7,0.8,0.8,,432
2014,Chisholm,Chisholm HS,I042,,705,24I042705,,0.55,0.74,0.92,0.82,0.87,0.78,0.82,4,427
2015,CHISHOLM,CHISHOLM HS,I042,24I042,705,24I042705,,0.47,0.95,0.93,0.92,0.71,0.67,0.87,4,425
2016,CHISHOLM,CHISHOLM HS,I042,,705,24I042705,,0.44,0.95,0.92,0.88,0.85,0.76,0.82,5,470
2013,Chisholm,Chisholm MS,I042,,505,,0.05,0.32,,,,,,,,601
2014,Chisholm,Chisholm MS,I042,,505,24I042505,0.05,0.26,,,,,,,,689
2015,CHISHOLM,CHISHOLM MS,I042,24I042,505,24I042505,0.05,0.37,,,0,,0,0,0,803
2016,CHISHOLM,CHISHOLM MS,I042,,505,24I042505,0.05,0.32,,,0,,0,0,0,699
2013,Choctaw-Nicoma Park,Choctaw ES,I004,,105,,,,,,,,,,,444
2014,Choctaw-Nicoma Park,Choctaw ES,I004,,105,55I004105,,,,,,,,,,569
2015,CHOCTAW-NICOMA PARK,CHOCTAW ES,I004,55I004,105,55I004105,,,,,0,,0,0,0,522
2016,CHOCTAW-NICOMA PARK,CHOCTAW ES,I004,,105,55I004105,,,,,0,,0,0,0,454
2013,Choctaw-Nicoma Park,Choctaw HS,I004,,705,,,0.95,0.81,0.78,0.85,0.71,0.62,0.71,,2453
2014,Choctaw-Nicoma Park,Choctaw HS,I004,,705,55I004705,,0.95,0.48,0.9,0.86,0.71,0.67,0.71,4,2429
2015,CHOCTAW-NICOMA PARK,CHOCTAW HS,I004,55I004,705,55I004705,,0.91,0.95,0.91,0.87,0.67,0.6,0.73,3,2512
2016,CHOCTAW-NICOMA PARK,CHOCTAW HS,I004,,705,55I004705,,0.95,0.95,0.91,0.85,0.68,0.6,0.69,4,2718
2013,Choctaw-Nicoma Park,Choctaw MS,I004,,520,,0.05,0.69,,,,,,,,1857
2014,Choctaw-Nicoma Park,Choctaw MS,I004,,520,55I004520,0.05,0.89,,,,,,,,1975
2015,CHOCTAW-NICOMA PARK,CHOCTAW MS,I004,55I004,520,55I004520,0.05,0.72,,,0,,0,0,0,2268
2016,CHOCTAW-NICOMA PARK,CHOCTAW MS,I004,,520,55I004520,0.05,0.68,,,0,,0,0,0,1998
2013,Choctaw-Nicoma Park,Indian Meridian ES,I004,,103,,,,,,,,,,,
2014,Choctaw-Nicoma Park,Indian Meridian ES,I004,,103,55I004103,,,,,,,,,,
2015,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,I004,55I004,103,55I004103,,,,,0,,0,0,0,1494
2016,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,I004,,103,55I004103,,,,,0,,0,0,0,1360
2013,Choctaw-Nicoma Park,James Griffith Intermediate ES,I004,,125,,,,,,,,,,,1228
2014,Choctaw-Nicoma Park,James Griffith Intermediate ES,I004,,125,55I004125,,,,,,,,,,1394
2015,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,I004,55I004,125,55I004125,,,,,0,,0,0,0,1494
2016,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,I004,,125,55I004125,,,,,0,,0,0,0,1360
2015,CHOCTAW-NICOMA PARK,L. W. WESTFALL ES,I004,55I004,126,55I004126,,,,,0,,0,0,0,611
2016,CHOCTAW-NICOMA PARK,L. W. WESTFALL ES,I004,,126,55I004126,,,,,0,,0,0,0,544
2013,Choctaw-Nicoma Park,L.W.Westfall ES,I004,,126,,,,,,,,,,,549
2014,Choctaw-Nicoma Park,L.W.Westfall ES,I004,,126,55I004126,,,,,,,,,,563
2013,Choctaw-Nicoma Park,Nicoma Park ES,I004,,115,,,,,,,,,,,
2014,Choctaw-Nicoma Park,Nicoma Park ES,I004,,115,55I004115,,,,,,,,,,
2015,CHOCTAW-NICOMA PARK,NICOMA PARK ES,I004,55I004,115,55I004115,,,,,0,,0,0,0,1093
2016,CHOCTAW-NICOMA PARK,NICOMA PARK ES,I004,,115,55I004115,,,,,0,,0,0,0,1014
2013,Choctaw-Nicoma Park,Nicoma Park Intermediate ES,I004,,120,,,,,,,,,,,910
2014,Choctaw-Nicoma Park,Nicoma Park Intermediate ES,I004,,120,55I004120,,,,,,,,,,1149
2015,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,I004,55I004,120,55I004120,,,,,0,,0,0,0,1093
2016,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,I004,,120,55I004120,,,,,0,,0,0,0,1014
2013,Choctaw-Nicoma Park,Nicoma Park MS,I004,,515,,0.05,0.4,,,,,,,,1531
2014,Choctaw-Nicoma Park,Nicoma Park MS,I004,,515,55I004515,0.05,0.51,,,,,,,,1596
2015,CHOCTAW-NICOMA PARK,NICOMA PARK MS,I004,55I004,515,55I004515,0.05,0.5,,,0,,0,0,0,1899
