RecordNumber,County,District,School,lat,lon
1089,OKLAHOMA,MIDWEST CITY-DEL CITY,EPPERLY HEIGHTS ES,35.4407766,-97.4490451
1090,OKLAHOMA,MIDWEST CITY-DEL CITY,PLEASANT HILL EC CTR,35.5072165,-97.4388985
1091,OKLAHOMA,MIDWEST CITY-DEL CITY,HIGHLAND PARK ES,35.4128496,-97.444384
1092,OKLAHOMA,MIDWEST CITY-DEL CITY,RIDGECREST ES,35.4710411,-97.3986321
1093,OKLAHOMA,MIDWEST CITY-DEL CITY,SOLDIER CREEK ES,35.4500578,-97.3700084
1094,OKLAHOMA,MIDWEST CITY-DEL CITY,STEED ES,35.4588283,-97.3821714
1095,OKLAHOMA,MIDWEST CITY-DEL CITY,TINKER ES,35.4198443,-97.4177031
1096,OKLAHOMA,MIDWEST CITY-DEL CITY,TOWNSEND ES,35.4260012,-97.4364798
1097,OKLAHOMA,MIDWEST CITY-DEL CITY,PARKVIEW ES,35.4090347,-97.4294807
1098,OKLAHOMA,MIDWEST CITY-DEL CITY,SCHWARTZ ES,35.3632326,-97.3175995
1099,OKLAHOMA,MIDWEST CITY-DEL CITY,MIDWEST CITY ES,35.4438752,-97.3884268
1100,OKLAHOMA,MIDWEST CITY-DEL CITY,CARL ALBERT MS,35.4396088,-97.3544113
1101,OKLAHOMA,MIDWEST CITY-DEL CITY,DEL CREST MS,35.4575703,-97.430486
1102,OKLAHOMA,MIDWEST CITY-DEL CITY,JARMAN MS,35.440948,-97.4002239
1103,OKLAHOMA,MIDWEST CITY-DEL CITY,KERR MS,35.4406781,-97.4277837
1104,OKLAHOMA,MIDWEST CITY-DEL CITY,MONRONEY MS,35.4627779,-97.3929789
1105,OKLAHOMA,MIDWEST CITY-DEL CITY,CARL ALBERT HS,35.4448293,-97.3539237
1106,OKLAHOMA,MIDWEST CITY-DEL CITY,DEL CITY HS,35.4451973,-97.4405459
1107,OKLAHOMA,MIDWEST CITY-DEL CITY,MIDWEST CITY HS,35.4541855,-97.399364
1108,OKLAHOMA,MIDWEST CITY-DEL CITY,TECHNOLOGY CENTER,35.4549478,-97.4022847
1109,OKLAHOMA,CROOKED OAK,CENTRAL OAK ES,35.4507674,-97.4759624
1110,OKLAHOMA,CROOKED OAK,CROOKED OAK MS,35.4507674,-97.4759624
1111,OKLAHOMA,CROOKED OAK,CROOKED OAK HS,35.4507674,-97.4759624
1112,OKLAHOMA,BETHANY,EARL HARRIS ES,35.5159411,-97.6315028
1113,OKLAHOMA,BETHANY,CHILDREN'S CTR,35.5159411,-97.6315028
1114,OKLAHOMA,BETHANY,BETHANY MS,35.5159411,-97.6315028
1115,OKLAHOMA,BETHANY,BETHANY HS,35.5159411,-97.6315028
1116,OKLAHOMA,OKLAHOMA CITY,ADAMS ES,35.4268744,-97.5776481
1117,OKLAHOMA,OKLAHOMA CITY,ARTHUR ES,35.4148039,-97.573228
1118,OKLAHOMA,OKLAHOMA CITY,BODINE ES,35.4115772,-97.4614096
1119,OKLAHOMA,OKLAHOMA CITY,BRITTON ES,35.567787,-97.5346334
1120,OKLAHOMA,OKLAHOMA CITY,BUCHANAN ES,35.4877188,-97.5935484
1121,OKLAHOMA,OKLAHOMA CITY,CESAR CHAVEZ ES,35.4276366,-97.5012515
1122,OKLAHOMA,OKLAHOMA CITY,CLEVELAND ES,35.4934755,-97.5620139
1123,OKLAHOMA,OKLAHOMA CITY,COOLIDGE ES,35.41255,-97.555687
1124,OKLAHOMA,OKLAHOMA CITY,CAPITOL HILL ES,35.4378513,-97.5166443
1125,OKLAHOMA,OKLAHOMA CITY,F.D. MOON ES,35.4835241,-97.4784632
1126,OKLAHOMA,OKLAHOMA CITY,EDGEMERE ES,35.5016993,-97.5203974
1127,OKLAHOMA,OKLAHOMA CITY,EDWARDS ES,35.478917,-97.467187
1128,OKLAHOMA,OKLAHOMA CITY,EMERSON ALTERNATIVE ED. (ES),35.4746329,-97.5219744
1129,OKLAHOMA,OKLAHOMA CITY,EUGENE FIELD ES,35.484203,-97.5326509
1130,OKLAHOMA,OKLAHOMA CITY,FILLMORE ES,35.4129673,-97.5391072
1131,OKLAHOMA,OKLAHOMA CITY,GATEWOOD ES,35.4914643,-97.5411308
1132,OKLAHOMA,OKLAHOMA CITY,GREEN PASTURES ES,35.5153587,-97.3513885
1133,OKLAHOMA,OKLAHOMA CITY,GREYSTONE ES,35.5874398,-97.555972
1134,OKLAHOMA,OKLAHOMA CITY,HAWTHORNE ES,35.4844617,-97.5532546
1135,OKLAHOMA,OKLAHOMA CITY,HAYES ES,35.3961115,-97.5025653
1136,OKLAHOMA,OKLAHOMA CITY,HERONVILLE ES,35.4346623,-97.5383154
1137,OKLAHOMA,OKLAHOMA CITY,HILLCREST ES,35.4009493,-97.5616023
1138,OKLAHOMA,OKLAHOMA CITY,HORACE MANN ES,35.5181005,-97.5307711
1139,OKLAHOMA,OKLAHOMA CITY,JACKSON ES,35.4384741,-97.5577546
1140,OKLAHOMA,OKLAHOMA CITY,JOHNSON ES,35.5638561,-97.5535546
1141,OKLAHOMA,OKLAHOMA CITY,KAISER ES,35.5006673,-97.5906627
1142,OKLAHOMA,OKLAHOMA CITY,M.L. KING JR. ES,35.5208066,-97.4891596
1143,OKLAHOMA,OKLAHOMA CITY,LEE ES,35.4348041,-97.5204515
1144,OKLAHOMA,OKLAHOMA CITY,LINWOOD ES,35.486491,-97.5779359
1145,OKLAHOMA,OKLAHOMA CITY,MARK TWAIN ES,35.4676644,-97.5558912
1146,OKLAHOMA,OKLAHOMA CITY,MONROE ES,35.5190057,-97.5576391
1147,OKLAHOMA,OKLAHOMA CITY,NICHOLS HILLS ES,35.5511302,-97.5365634
1148,OKLAHOMA,OKLAHOMA CITY,NORTH HIGHLAND ES,35.5560904,-97.5149945
1149,OKLAHOMA,OKLAHOMA CITY,OAKRIDGE ES,35.4227869,-97.4511865
1150,OKLAHOMA,OKLAHOMA CITY,THELMA R. PARKS ES,35.5004113,-97.4854976
1151,OKLAHOMA,OKLAHOMA CITY,PARMELEE ES,35.3986238,-97.5183341
1152,OKLAHOMA,OKLAHOMA CITY,PIERCE ES,35.4383966,-97.5928709
1153,OKLAHOMA,OKLAHOMA CITY,PRAIRIE QUEEN ES,35.3996786,-97.5402635
1154,OKLAHOMA,OKLAHOMA CITY,PUTNAM HEIGHTS ES,35.5082732,-97.5398745
1155,OKLAHOMA,OKLAHOMA CITY,QUAIL CREEK ES,35.5890916,-97.5712549
1156,OKLAHOMA,OKLAHOMA CITY,RANCHO VILLAGE ES,35.4258359,-97.5427068
1157,OKLAHOMA,OKLAHOMA CITY,RIDGEVIEW ES,35.5718546,-97.5591792
1158,OKLAHOMA,OKLAHOMA CITY,ROCKWOOD ES,35.4414551,-97.5716343
1159,OKLAHOMA,OKLAHOMA CITY,SEQUOYAH ES,35.5069986,-97.5547683
1160,OKLAHOMA,OKLAHOMA CITY,SHIDLER ES,35.4513228,-97.5039199
1161,OKLAHOMA,OKLAHOMA CITY,SOUTHERN HILLS ES,35.3875358,-97.5413664
1162,OKLAHOMA,OKLAHOMA CITY,SPENCER ES,35.5215631,-97.3725541
1163,OKLAHOMA,OKLAHOMA CITY,STAND WATIE ES,35.4296766,-97.5596747
1164,OKLAHOMA,OKLAHOMA CITY,TELSTAR ES,35.485802,-97.3608066
1165,OKLAHOMA,OKLAHOMA CITY,VAN BUREN ES,35.4243267,-97.5620485
1166,OKLAHOMA,OKLAHOMA CITY,WEST NICHOLS HILLS ES,35.5546878,-97.5582587
1167,OKLAHOMA,OKLAHOMA CITY,WESTWOOD ES,35.4545709,-97.5460923
1168,OKLAHOMA,OKLAHOMA CITY,WHEELER ES,35.4402667,-97.5031515
1169,OKLAHOMA,OKLAHOMA CITY,WILLOW BROOK ES,35.4785908,-97.3860344
1170,OKLAHOMA,OKLAHOMA CITY,WILSON ES,35.491753,-97.5217206
1171,OKLAHOMA,OKLAHOMA CITY,BELLE ISLE MS,35.5309307,-97.5556148
1172,OKLAHOMA,OKLAHOMA CITY,CLASSEN MS OF ADVANCED STUDIES,35.4879041,-97.5333723
1173,OKLAHOMA,OKLAHOMA CITY,EMERSON ALTERNATIVE ED. (MS),35.4746329,-97.5219744
1174,OKLAHOMA,OKLAHOMA CITY,DOUGLASS MS,35.4753109,-97.474821
1175,OKLAHOMA,OKLAHOMA CITY,JEFFERSON MS,35.3985864,-97.538147
1176,OKLAHOMA,OKLAHOMA CITY,NORTHEAST MS,35.5014015,-97.4931532
1177,OKLAHOMA,OKLAHOMA CITY,ROGERS MS,35.511072,-97.378824
1178,OKLAHOMA,OKLAHOMA CITY,ROOSEVELT MS,35.4207844,-97.5726955
1179,OKLAHOMA,OKLAHOMA CITY,TAFT MS,35.4939591,-97.5666377
1180,OKLAHOMA,OKLAHOMA CITY,WEBSTER MS,35.397926,-97.510289
1181,OKLAHOMA,OKLAHOMA CITY,JOHN MARSHALL MS,35.5922733,-97.5877604
1182,OKLAHOMA,OKLAHOMA CITY,OKLAHOMA CENTENNIAL MS,35.5737713,-97.4904647
1183,OKLAHOMA,OKLAHOMA CITY,CAPITOL HILL HS,35.4272729,-97.5224804
1184,OKLAHOMA,OKLAHOMA CITY,CLASSEN HS OF ADVANCED STUDIES,35.4879041,-97.5333723
1185,OKLAHOMA,OKLAHOMA CITY,DOUGLASS HS,35.4753109,-97.474821
1186,OKLAHOMA,OKLAHOMA CITY,EMERSON ALTERNATIVE ED. (HS),35.4746329,-97.5219744
1187,OKLAHOMA,OKLAHOMA CITY,U. S. GRANT HS,35.4148628,-97.5446397
1188,OKLAHOMA,OKLAHOMA CITY,JOHN MARSHALL HS,35.5922733,-97.5877604
1189,OKLAHOMA,OKLAHOMA CITY,OKLAHOMA CENTENNIAL HS,35.5737713,-97.4904647
1190,OKLAHOMA,OKLAHOMA CITY,NORTHEAST HS,35.5014015,-97.4931532
1191,OKLAHOMA,OKLAHOMA CITY,NORTHWEST CLASSEN HS,35.4983965,-97.5644189
1192,OKLAHOMA,OKLAHOMA CITY,SOUTHEAST HS,35.4121054,-97.5095803
1193,OKLAHOMA,OKLAHOMA CITY,STAR SPENCER HS,35.5014337,-97.3810125
1194,OKLAHOMA,OKLAHOMA CITY,DOVE SCIENCE ACADEMY ES,35.5209433,-97.5041737
1195,OKLAHOMA,OKLAHOMA CITY,SANTA FE SOUTH EARLY CHILDHOOD,35.418025,-97.5119994
1196,OKLAHOMA,OKLAHOMA CITY,SANTA FE SOUTH SPERO ES,35.4165279,-97.5121845
1197,OKLAHOMA,OKLAHOMA CITY,DOVE SCIENCE ACADEMY MS,35.4935371,-97.5284305
1198,OKLAHOMA,OKLAHOMA CITY,SANTA FE S PATHWAYS MID COLLEG,35.3866529,-97.5686098
1199,OKLAHOMA,OKLAHOMA CITY,INDEPENDENCE CHARTER MS,35.5379855,-97.5733559
1200,OKLAHOMA,OKLAHOMA CITY,JUSTICE AW SEEWORTH ACADEMY ES,35.5978976,-97.4957378
1201,OKLAHOMA,OKLAHOMA CITY,HUPFELD ACAD./WESTERN VILLAGE,35.578802,-97.5399122
1202,OKLAHOMA,OKLAHOMA CITY,SANTA FE SOUTH HS,35.426695,-97.504596
1203,OKLAHOMA,OKLAHOMA CITY,HARDING CHARTER PREPARATORY HS,35.5036423,-97.5268396
1204,OKLAHOMA,OKLAHOMA CITY,HARDING FINE ARTS ACADEMY,35.5240855,-97.5257395
1205,OKLAHOMA,OKLAHOMA CITY,SANTA FE SOUTH MS,35.418025,-97.5119994
1206,OKLAHOMA,OKLAHOMA CITY,KIPP REACH COLLEGE PREPARATORY,35.47,-97.52
1207,OKLAHOMA,OKLAHOMA CITY,KIPP OKC SOUTH COMMUNITY PREP,35.47,-97.52
1208,OKLAHOMA,OKLAHOMA CITY,JUSTICE AW SEEWORTH ACADEMY HS,35.5978976,-97.4957378
1209,OKLAHOMA,OKLAHOMA CITY,SANTA FE SOUTH PENN ES,35.4122309,-97.5485045
1210,OKLAHOMA,OKLAHOMA CITY,SANTA FE SOUTH HILLS ES,35.426695,-97.504596
1211,OKLAHOMA,OKLAHOMA CITY,DOVE SCIENCE ACADEMY HS,35.4935371,-97.5284305
1212,OKLAHOMA,OKLAHOMA YOUTH ACADEMY,OYA CHARTER TECUMSEH 6TH-8TH,35.24965,-96.944378
1213,OKLAHOMA,OKLAHOMA YOUTH ACADEMY,OYA CHARTER TECUMSEH 9TH-12TH,35.24965,-96.944378
1214,OKLAHOMA,OKLAHOMA YOUTH ACADEMY,OYA CHARTER MANITOU 6TH-8TH,34.5050963,-98.9805665
1215,OKLAHOMA,OKLAHOMA YOUTH ACADEMY,OYA CHARTER MANITOU 9TH-12TH,34.5050963,-98.9805665
1216,OKLAHOMA,EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER ES,35.5951918,-97.5942063
1217,OKLAHOMA,EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER MS,35.5951918,-97.5942063
1218,OKLAHOMA,EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER HS,35.5951918,-97.5942063
1219,OKLAHOMA,OKLAHOMA VIRTUAL CHARTER ACAD,OKLA. VIRTUAL CHARTER ACAD ES,35.4535046,-97.3698152
1220,OKLAHOMA,OKLAHOMA VIRTUAL CHARTER ACAD,OKLA. VIRTUAL CHARTER ACAD MS,35.4535046,-97.3698152
1221,OKLAHOMA,OKLAHOMA VIRTUAL CHARTER ACAD,OKLA. VIRTUAL CHARTER ACAD HS,35.4535046,-97.3698152
1222,OKLAHOMA,OKLAHOMA CONNECTIONS ACADEMY,OKLAHOMA CONNECTIONS ACAD ES,36.7288151,-95.9501774
1223,OKLAHOMA,OKLAHOMA CONNECTIONS ACADEMY,OKLAHOMA CONNECTIONS ACAD MS,36.7288151,-95.9501774
1224,OKLAHOMA,OKLAHOMA CONNECTIONS ACADEMY,OKLAHOMA CONNECTIONS ACAD HS,36.7288151,-95.9501774
1225,OKLAHOMA,INSIGHT SCHOOL OF OKLAHOMA,INSIGHT SCHOOL OF OKLAHOMA MS,35.4536049,-97.3698552
1226,OKLAHOMA,INSIGHT SCHOOL OF OKLAHOMA,INSIGHT SCHOOL OF OKLAHOMA HS,35.4536049,-97.3698552
1227,OKMULGEE,TWIN HILLS,TWIN HILLS PUBLIC SCHOOL,35.7516783,-95.8379509
1228,OKMULGEE,OKMULGEE,OKMULGEE PRIMARY ES,35.624892,-95.9721768
1229,OKMULGEE,OKMULGEE,DUNBAR INTERMEDIATE ES,35.624892,-95.9721768
1230,OKMULGEE,OKMULGEE,OKMULGEE HS,35.624892,-95.9721768
1231,OKMULGEE,HENRYETTA,HENRYETTA ES,35.4456602,-96.0060897
1232,OKMULGEE,HENRYETTA,HENRYETTA MS,35.4456602,-96.0060897
1233,OKMULGEE,HENRYETTA,HENRYETTA HS,35.4456602,-96.0060897
1234,OKMULGEE,MORRIS,MORRIS ES,35.6067555,-95.8526879
1235,OKMULGEE,MORRIS,MORRIS MS,35.6067555,-95.8526879
1236,OKMULGEE,MORRIS,MORRIS HS,35.6067555,-95.8526879
1237,OKMULGEE,BEGGS,BEGGS ES,35.748638,-96.0827998
1238,OKMULGEE,BEGGS,BEGGS MS,35.748638,-96.0827998
1239,OKMULGEE,BEGGS,BEGGS HS,35.748638,-96.0827998
1240,OKMULGEE,PRESTON,PRESTON ES,35.7112026,-95.9912784
1241,OKMULGEE,PRESTON,PRESTON HS,35.7112026,-95.9912784
1242,OKMULGEE,SCHULTER,SCHULTER ES,35.5177975,-95.9560362
1243,OKMULGEE,SCHULTER,SCHULTER HS,35.5177975,-95.9560362
1244,OKMULGEE,WILSON,WILSON ES,35.5077095,-96.0351257
1245,OKMULGEE,WILSON,WILSON HS,35.5077095,-96.0351257
1246,OKMULGEE,DEWAR,DEWAR ES,35.4586067,-95.9405628
1247,OKMULGEE,DEWAR,DEWAR MS,35.4586067,-95.9405628
1248,OKMULGEE,DEWAR,DEWAR HS,35.4586067,-95.9405628
1249,OSAGE,OSAGE HILLS,OSAGE HILLS PUBLIC SCHOOL,36.7335293,-96.0073225
1250,OSAGE,BOWRING,BOWRING PUBLIC SCHOOL,36.8780134,-96.1173827
1251,OSAGE,AVANT,AVANT PUBLIC SCHOOL,36.4923574,-96.057152
1252,OSAGE,ANDERSON,ANDERSON PUBLIC SCHOOL,36.1734612,-96.1849354
1253,OSAGE,MCCORD,MCCORD PUBLIC SCHOOL,36.6664867,-97.0309534
1254,OSAGE,PAWHUSKA,INDIAN CAMP ES,36.6728222,-96.3227402
1255,OSAGE,PAWHUSKA,PAWHUSKA ES,36.6743396,-96.3304169
1256,OSAGE,PAWHUSKA,PAWHUSKA JHS,36.6728063,-96.3315596
1257,OSAGE,PAWHUSKA,PAWHUSKA HS,36.6728075,-96.3314787
1258,OSAGE,SHIDLER,WARD ES,36.7796568,-96.6614987
1259,OSAGE,SHIDLER,SHIDLER MS,36.7796568,-96.6614987
1260,OSAGE,SHIDLER,SHIDLER HS,36.7796568,-96.6614987
1261,OSAGE,BARNSDALL,BARNSDALL ES,36.5620228,-96.1629152
1262,OSAGE,BARNSDALL,BARNSDALL JHS,36.5620228,-96.1629152
1263,OSAGE,BARNSDALL,BARNSDALL HS,36.5620228,-96.1629152
1264,OSAGE,WYNONA,WYNONA ES,36.5468501,-96.3287238
1265,OSAGE,WYNONA,WYNONA HS,36.5468501,-96.3287238
1266,OSAGE,HOMINY,HORACE MANN ES,36.4135588,-96.3908505
1267,OSAGE,HOMINY,HOMINY EARLY CHILDHOOD CENTER,36.4135588,-96.3908505
1268,OSAGE,HOMINY,HOMINY MS,36.4135588,-96.3908505
1269,OSAGE,HOMINY,HOMINY HS,36.4135588,-96.3908505
1270,OSAGE,PRUE,PRUE ES,36.2528369,-96.2703207
1271,OSAGE,PRUE,PRUE HS,36.2528369,-96.2703207
1272,OSAGE,WOODLAND,WOODLAND ES,36.5707662,-96.7082409
1273,OSAGE,WOODLAND,WOODLAND UPPER ES,36.5707662,-96.7082409
1274,OSAGE,WOODLAND,WOODLAND HS,36.5707662,-96.7082409
1275,OTTAWA,TURKEY FORD,TURKEY FORD PUBLIC SCHOOL,36.6692306,-94.6796248
1276,OTTAWA,WYANDOTTE,WYANDOTTE ES,36.7946784,-94.7249204
1277,OTTAWA,WYANDOTTE,WYANDOTTE MS,36.7946784,-94.7249204
1278,OTTAWA,WYANDOTTE,WYANDOTTE HS,36.7946784,-94.7249204
1279,OTTAWA,QUAPAW,QUAPAW ES,36.958014,-94.793619
1280,OTTAWA,QUAPAW,QUAPAW MS,36.958014,-94.793619
1281,OTTAWA,QUAPAW,QUAPAW HS,36.958014,-94.793619
1282,OTTAWA,COMMERCE,ALEXANDER ES,36.9399464,-94.8707942
1283,OTTAWA,COMMERCE,COMMERCE MS,36.9330235,-94.8722824
1284,OTTAWA,COMMERCE,COMMERCE HS,36.9274761,-94.8731508
1285,OTTAWA,MIAMI,ROCKDALE ES,36.8871478,-94.8545397
1286,OTTAWA,MIAMI,ROOSEVELT ES,36.8772458,-94.8855246
1287,OTTAWA,MIAMI,WASHINGTON ES,36.897803,-94.8751194
1288,OTTAWA,MIAMI,WILSON ES,36.8796293,-94.8847001
1289,OTTAWA,MIAMI,NICHOLS UPPER ES,36.891876,-94.884107
1290,OTTAWA,MIAMI,WILL ROGERS MS,36.8897306,-94.8846443
1291,OTTAWA,MIAMI,MIAMI HS,36.8749722,-94.8539271
1292,OTTAWA,AFTON,AFTON ES,36.6934229,-94.964852
1293,OTTAWA,AFTON,AFTON HS,36.6934229,-94.964852
1294,OTTAWA,FAIRLAND,FAIRLAND ES,36.7516373,-94.8515746
1295,OTTAWA,FAIRLAND,FAIRLAND MS,36.7516373,-94.8515746
1296,OTTAWA,FAIRLAND,FAIRLAND HS,36.7516373,-94.8515746
1297,PAWNEE,JENNINGS,JENNINGS PUBLIC SCHOOL,36.1818553,-96.5684915
1298,PAWNEE,PAWNEE,PAWNEE ES,36.3360793,-96.805209
1299,PAWNEE,PAWNEE,PAWNEE MS,36.3332572,-96.8046287
1300,PAWNEE,PAWNEE,PAWNEE HS,36.332664,-96.8052509
1301,PAWNEE,CLEVELAND,CLEVELAND PRIMARY ES,36.3170058,-96.4745005
1302,PAWNEE,CLEVELAND,CLEVELAND INTERMEDIATE ES,36.3170058,-96.4745005
1303,PAWNEE,CLEVELAND,CLEVELAND MS,36.3170058,-96.4745005
1304,PAWNEE,CLEVELAND,CLEVELAND HS,36.3170058,-96.4745005
1305,PAYNE,OAK GROVE,OAK GROVE PUBLIC SCHOOL,35.970227,-96.641508
1306,PAYNE,RIPLEY,RIPLEY ES,36.0186926,-96.9051003
1307,PAYNE,RIPLEY,RIPLEY HS,36.0186926,-96.9051003
1308,PAYNE,STILLWATER,HIGHLAND PARK ES,36.1192425,-97.0269104
1309,PAYNE,STILLWATER,SANGRE RIDGE ES,36.0947465,-97.1053879
1310,PAYNE,STILLWATER,SKYLINE ES,36.1384744,-97.0413354
1311,PAYNE,STILLWATER,WESTWOOD ES,35.97535,-96.783396
1312,PAYNE,STILLWATER,WILL ROGERS ES,36.1345192,-97.068975
1313,PAYNE,STILLWATER,RICHMOND ES,36.1731598,-97.0607175
1314,PAYNE,STILLWATER,STILLWATER MS,36.0968458,-97.105998
1315,PAYNE,STILLWATER,STILLWATER JHS,36.1404332,-97.0397061
1316,PAYNE,STILLWATER,STILLWATER HS,36.1358038,-97.0634151
1317,PAYNE,PERKINS-TRYON,PERKINS-TRYON ES,35.9739448,-97.0336417
1318,PAYNE,PERKINS-TRYON,PERKINS-TRYON INTERMEDIATE ES,35.9739448,-97.0336417
1319,PAYNE,PERKINS-TRYON,PERKINS-TRYON MS,35.9739448,-97.0336417
1320,PAYNE,PERKINS-TRYON,PERKINS-TRYON HS,35.9739448,-97.0336417
1321,PAYNE,CUSHING,CUSHING PRE-KINDERGARTEN SCHL,35.961236,-96.785847
1322,PAYNE,CUSHING,CUSHING LOWER ES,35.965925,-96.733997
1323,PAYNE,CUSHING,CUSHING UPPER ES,35.9825569,-96.7687222
1324,PAYNE,CUSHING,CUSHING MS,35.9745274,-96.7319631
1325,PAYNE,CUSHING,CUSHING HS,35.9831255,-96.7430202
1326,PAYNE,GLENCOE,GLENCOE ES,36.230963,-96.924209
1327,PAYNE,GLENCOE,GLENCOE HS,36.230963,-96.924209
1328,PAYNE,YALE,YALE ES,36.1217929,-96.695085
1329,PAYNE,YALE,YALE MS,36.1164121,-96.6958103
1330,PAYNE,YALE,YALE HS,36.1164121,-96.6958103
1331,PITTSBURG,KREBS,KREBS PUBLIC SCHOOL,34.926508,-95.7155614
1332,PITTSBURG,FRINK-CHAMBERS,FRINK-CHAMBERS PUBLIC SCHOOL,34.8772012,-95.7885825
1333,PITTSBURG,TANNEHILL,TANNEHILL PUBLIC SCHOOL,34.9995143,-95.8581807
1334,PITTSBURG,HAYWOOD,HAYWOOD PUBLIC SCHOOL,34.8852796,-95.9471616
1335,PITTSBURG,CARLTON LANDING ACADEMY,CARLTON LANDING ACADEMY ES,35.2032126,-95.5449039
1336,PITTSBURG,CARLTON LANDING ACADEMY,CARLTON LANDING ACADEMY HS,35.2032126,-95.5449039
1337,PITTSBURG,HARTSHORNE,HARTSHORNE ES,34.850561,-95.5572732
1338,PITTSBURG,HARTSHORNE,HARTSHORNE MS,34.8421588,-95.5680651
1339,PITTSBURG,HARTSHORNE,HARTSHORNE HS,34.8421588,-95.5680651
1340,PITTSBURG,CANADIAN,CANADIAN ES,35.1763493,-95.6552902
1341,PITTSBURG,CANADIAN,CANADIAN HS,35.1763493,-95.6552902
1342,PITTSBURG,CANADIAN,CARLTON LANDING ACADEMY ES,35.9513564,-95.6482603
1343,PITTSBURG,CANADIAN,CARLTON LANDING ACADEMY HS,35.9513564,-95.6482603
1344,PITTSBURG,HAILEYVILLE,HAILEYVILLE ES,34.8555832,-95.5799833
1345,PITTSBURG,HAILEYVILLE,HAILEYVILLE HS,34.8555832,-95.5799833
1346,PITTSBURG,KIOWA,KIOWA ES,34.7213707,-95.9055792
1347,PITTSBURG,KIOWA,KIOWA HS,34.7213707,-95.9055792
1348,PITTSBURG,QUINTON,QUINTON ES,35.1231369,-95.3673477
1349,PITTSBURG,QUINTON,QUINTON HS,35.1231369,-95.3673477
1350,PITTSBURG,INDIANOLA,INDIANOLA ES,35.1676102,-95.7743359
1351,PITTSBURG,INDIANOLA,INDIANOLA HS,35.1676102,-95.7743359
1352,PITTSBURG,CROWDER,CROWDER ES,35.1247709,-95.6746759
1353,PITTSBURG,CROWDER,CROWDER HS,35.1247709,-95.6746759
1354,PITTSBURG,SAVANNA,SAVANNA ES,34.828904,-95.8440633
1355,PITTSBURG,SAVANNA,SAVANNA HS,34.828904,-95.8440633
1356,PITTSBURG,PITTSBURG,PITTSBURG ES,34.7137738,-95.8491799
1357,PITTSBURG,PITTSBURG,PITTSBURG HS,34.7137738,-95.8491799
1358,PITTSBURG,MCALESTER,EDMOND DOYLE ES,34.9323024,-95.7622647
1359,PITTSBURG,MCALESTER,EMERSON ES,34.9323024,-95.7622647
1360,PITTSBURG,MCALESTER,WILLIAM GAY EC CTR,34.9323024,-95.7622647
1361,PITTSBURG,MCALESTER,JEFFERSON EC CTR,34.9323024,-95.7622647
1362,PITTSBURG,MCALESTER,WILL ROGERS ES,34.9323024,-95.7622647
1363,PITTSBURG,MCALESTER,PARKER INTERMEDIATE CTR,34.9323024,-95.7622647
1364,PITTSBURG,MCALESTER,PUTERBAUGH MS,34.9323024,-95.7622647
1365,PITTSBURG,MCALESTER,MCALESTER HS,34.9323024,-95.7622647
1366,PONTOTOC,ALLEN,ALLEN ES,34.878749,-96.416469
1367,PONTOTOC,ALLEN,ALLEN HS,34.878749,-96.416469
1368,PONTOTOC,VANOSS,VANOSS ES,34.75991,-96.8681954
1369,PONTOTOC,VANOSS,VANOSS HS,34.75991,-96.8681954
1370,PONTOTOC,BYNG,BYNG ES,34.8622457,-96.6664328
1371,PONTOTOC,BYNG,HOMER ES,34.7873572,-96.6328337
1372,PONTOTOC,BYNG,FRANCIS ES,34.8622457,-96.6664328
1373,PONTOTOC,BYNG,BYNG JHS,34.8622457,-96.6664328
1374,PONTOTOC,BYNG,BYNG HS,34.8622457,-96.6664328
1375,PONTOTOC,ADA,ADA EC CTR,34.7527293,-96.6869818
1376,PONTOTOC,ADA,HAYES ES,34.7702212,-96.6699322
1377,PONTOTOC,ADA,WASHINGTON ES,34.769216,-96.6866664
1378,PONTOTOC,ADA,WILLARD ES,34.7762897,-96.6675708
1379,PONTOTOC,ADA,ADA JHS,34.7664948,-96.6815417
1380,PONTOTOC,ADA,ADA HS,34.7603918,-96.6611754
1381,PONTOTOC,LATTA,LATTA ES,34.7528996,-96.8022996
1382,PONTOTOC,LATTA,LATTA MS,34.7528996,-96.8022996
1383,PONTOTOC,LATTA,LATTA HS,34.7528996,-96.8022996
1384,PONTOTOC,STONEWALL,STONEWALL ES,34.6475821,-96.5285508
1385,PONTOTOC,STONEWALL,MCLISH MS,34.6475821,-96.5285508
1386,PONTOTOC,STONEWALL,STONEWALL HS,34.6475821,-96.5285508
1387,PONTOTOC,ROFF,ROFF ES,34.6275449,-96.8423443
1388,PONTOTOC,ROFF,ROFF HS,34.6275449,-96.8423443
1389,POTTAWATOMIE,NORTH ROCK CREEK,NORTH ROCK CREEK PUBLIC SCHOOL,35.406182,-96.9033154
1390,POTTAWATOMIE,GROVE,GROVE PUBLIC SCHOOL,35.362124,-96.894801
1391,POTTAWATOMIE,PLEASANT GROVE,PLEASANT GROVE PUBLIC SCHOOL,35.324597,-96.895809
1392,POTTAWATOMIE,SOUTH ROCK CREEK,SOUTH ROCK CREEK PUBLIC SCHOOL,35.3067247,-96.8605784
