11I035520,TAHLEQUAH MIDDLE SCHOOL,43871.1219
11I035705,TAHLEQUAH HIGH SCHOOL,45472.0288
12C003105,GRANT ELEMENTARY,44760.4119
12C021105,SWINK ELEMENTARY,48881.9231
12I001105,BOSWELL ELEMENTARY,42171.4146
12I001515,BOSWELL MIDDLE SCHOOL,41787.888
12I001715,BOSWELL HIGH SCHOOL,45445.3843
12I002105,FORT TOWSON ELEMENTARY,43448.5251
12I002605,FORT TOWSON JR HIGH SCHOOL,38933.8843
12I002705,FORT TOWSON HIGH SCHOOL,41928.6771
12I004105,SOPER ELEMENTARY,43943.638
12I004705,SOPER HIGH SCHOOL,42034.4372
12I039135,HUGO ELEMENTARY,40961.493
12I039140,HUGO INTERMEDIATE,39488.6406
12I039510,HUGO MIDDLE SCHOOL,41649.1302
12I039705,HUGO HIGH SCHOOL,43553.6442
13I002105,BOISE CITY ELEMENTARY,39686.6808
13I002505,BOISE CITY JR HIGH SCHOOL,44996.1766
13I002705,BOISE CITY HIGH SCHOOL,44123.594
13I010105,FELT ELEMENTARY,38576.7684
13I010705,FELT HIGH SCHOOL,45985.9952
13I011105,KEYES ELEMENTARY,47837.1894
13I011705,KEYES HIGH SCHOOL,37377.1863
14C016105,ROBIN HILL ELEMENTARY,40533.1282
14I002103,CENTRAL ELEMENTARY,48027.4001
14I002107,FAIRVIEW ELEMENTARY,43898.1455
14I002108,KELLEY ELEMENTARY,45768.1694
14I002109,NORTHMOOR ELEMENTARY,45530.1822
14I002110,SOUTHGATE-RIPPETOE ELEMENTARY,45389.73
14I002112,PLAZA TOWERS ELEMENTARY,44680.7385
14I002113,SKY RANCH ELEMENTARY,44045.9164
14I002117,KINGSGATE ELEMENTARY,45352.6705
14I002120,HOUCHIN ELEMENTARY,44648.9968
14I002125,WINDING CREEK ELEMENTARY,44410.5566
14I002130,SANTA FE ELEMENTARY,47444.15
14I002135,APPLE CREEK ELEMENTARY,42375.3076
14I002140,RED OAK ELEMENTARY,51453.5868
14I002145,BRIARWOOD ELEMENTARY,44822.8664
14I002155,FISHER ELEMENTARY,46338.5568
14I002160,SOONER ELEMENTARY,43894.2172
14I002165,EARLYWINE ELEMENTARY,47356.0529
