RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
12937,2015,26I128105,26I128,"AMBER-POCASSET ELEMENTARY",75419.63,65279.89,0.03,0.10,0.17,0.515,0.21,0.64,0.15
14696,2016,26I128105,26I128,"AMBER-POCASSET ELEMENTARY",67741.83,62023.08,0.03,0.11,0.16,0.721,0.21,0.68,0.10
11170,2014,26I128715,26I128,"AMBER-POCASSET HIGH SCHOOL",68700.00,65984.00,0.04,0.10,0.18,0.420,0.21,0.63,0.17
12939,2015,26I128715,26I128,"AMBER-POCASSET HIGH SCHOOL",75419.63,65279.89,0.03,0.10,0.17,0.317,0.21,0.64,0.15
14698,2016,26I128715,26I128,"AMBER-POCASSET HIGH SCHOOL",67741.83,62023.08,0.03,0.11,0.16,0.426,0.21,0.68,0.10
11169,2014,26I128615,26I128,"AMBER-POCASSET JR HIGH SCHOOL",68700.00,65984.00,0.04,0.10,0.18,0.460,0.21,0.63,0.17
12938,2015,26I128615,26I128,"AMBER-POCASSET JR HIGH SCHOOL",75419.63,65279.89,0.03,0.10,0.17,0.478,0.21,0.64,0.15
14697,2016,26I128615,26I128,"AMBER-POCASSET JR HIGH SCHOOL",67741.83,62023.08,0.03,0.11,0.16,0.532,0.21,0.68,0.10
10714,2014,08I020105,08I020,"ANADARKO EAST ELEMENTARY",46371.00,17778.00,0.15,0.28,0.35,0.890,0.15,0.67,0.18
12480,2015,08I020105,08I020,"ANADARKO EAST ELEMENTARY",45655.25,17904.84,0.15,0.30,0.47,0.854,0.17,0.67,0.16
14243,2016,08I020105,08I020,"ANADARKO EAST ELEMENTARY",53555.52,17880.33,0.14,0.31,0.44,0.938,0.18,0.68,0.14
10718,2014,08I020705,08I020,"ANADARKO HIGH SCHOOL",46371.00,17778.00,0.15,0.28,0.35,0.700,0.15,0.67,0.18
12484,2015,08I020705,08I020,"ANADARKO HIGH SCHOOL",45655.25,17904.84,0.15,0.30,0.47,0.707,0.17,0.67,0.16
14247,2016,08I020705,08I020,"ANADARKO HIGH SCHOOL",53555.52,17880.33,0.14,0.31,0.44,0.669,0.18,0.68,0.14
10717,2014,08I020510,08I020,"ANADARKO MIDDLE SCHOOL",46371.00,17778.00,0.15,0.28,0.35,0.840,0.15,0.67,0.18
12483,2015,08I020510,08I020,"ANADARKO MIDDLE SCHOOL",45655.25,17904.84,0.15,0.30,0.47,0.782,0.17,0.67,0.16
14246,2016,08I020510,08I020,"ANADARKO MIDDLE SCHOOL",53555.52,17880.33,0.14,0.31,0.44,0.830,0.18,0.68,0.14
12290,2014,72I009130,72I009,"ANDERSEN ELEMENTARY",68895.00,48109.00,0.06,0.12,0.35,0.320,0.33,0.57,0.10
