RecordNumber,Yr,County,DistrictName,DistrictCode,DistrictPop,AvgIncome,AvgPropVal,Unemployment,Poverty,SingleParentFam,StdntOffdr,OffnsOffdr,NCNTGang,CollegeEd,HSDiploma,BelowHS,FRL
4238,2016,BLAINE,WATONGA,06I042,4981,53328.31,53908.56,0.02,0.22,0.39,45.4,1.8,0.00,0.12,0.71,0.17,0.746
3721,2015,BLAINE,WATONGA,06I042,4285,59216.37,46584.07,0.02,0.21,0.44,0.1,0.7,0.18,49.56,1.56,0.00,0.702
3203,2014,BLAINE,WATONGA,06I042,4776,54556.96,46591.90,0.02,0.21,0.53,56.1,2.6,0.00,0.66,0.21,0.14,0.746
3208,2014,BRYAN,ACHILLE,07I003,2663,53922.35,79151.59,0.09,0.11,0.24,100.7,1.0,0.00,0.70,0.16,0.15,0.752
4243,2016,BRYAN,ACHILLE,07I003,2379,53538.68,92130.70,0.12,0.13,0.28,108.0,1.3,0.00,0.15,0.70,0.15,0.756
3726,2015,BRYAN,ACHILLE,07I003,2608,50408.51,96025.77,0.13,0.14,0.31,0.1,0.7,0.17,52.33,2.50,0.00,0.777
3729,2015,BRYAN,BENNINGTON,07I040,1329,43166.54,117360.10,0.10,0.18,0.29,0.2,0.6,0.22,0.00,0.00,0.00,0.734
3211,2014,BRYAN,BENNINGTON,07I040,1331,39700.19,128694.77,0.11,0.22,0.42,47.8,1.8,0.00,0.61,0.25,0.14,0.805
4246,2016,BRYAN,BENNINGTON,07I040,1388,40952.38,126961.94,0.13,0.23,0.30,298.0,4.0,0.00,0.18,0.64,0.18,0.832
4245,2016,BRYAN,CADDO,07I005,2566,50224.02,32908.51,0.10,0.19,0.34,243.0,1.0,0.00,0.21,0.63,0.17,0.759
3728,2015,BRYAN,CADDO,07I005,2536,46469.23,33102.30,0.16,0.22,0.37,0.2,0.6,0.17,35.69,1.54,0.00,0.726
3210,2014,BRYAN,CADDO,07I005,2506,45015.35,32278.67,0.18,0.22,0.37,156.3,2.3,0.00,0.62,0.18,0.20,0.774
3212,2014,BRYAN,CALERA,07I048,4163,51652.45,43422.23,0.07,0.13,0.18,74.9,2.3,0.00,0.70,0.14,0.16,0.669
4247,2016,BRYAN,CALERA,07I048,4254,57694.71,49686.65,0.07,0.12,0.22,240.3,4.3,0.00,0.19,0.72,0.09,0.705
3730,2015,BRYAN,CALERA,07I048,4433,53332.04,46204.92,0.09,0.11,0.21,0.2,0.7,0.12,77.89,1.33,0.00,0.690
3727,2015,BRYAN,COLBERT,07I004,5053,48406.96,24014.91,0.12,0.18,0.32,0.1,0.7,0.20,214.50,1.50,0.00,0.760
3209,2014,BRYAN,COLBERT,07I004,5213,46995.05,21576.82,0.12,0.21,0.39,149.8,1.2,0.00,0.65,0.21,0.14,0.761
4244,2016,BRYAN,COLBERT,07I004,4934,48570.16,24401.83,0.14,0.16,0.27,0.0,0.0,0.00,0.12,0.68,0.21,0.761
4248,2016,BRYAN,DURANT,07I072,17887,46828.37,34806.95,0.08,0.25,0.38,64.8,1.9,2.00,0.25,0.57,0.18,0.720
3731,2015,BRYAN,DURANT,07I072,17585,49851.13,33775.47,0.10,0.23,0.42,0.2,0.6,0.18,72.78,2.20,1.00,0.665
3213,2014,BRYAN,DURANT,07I072,16845,49643.04,33383.18,0.10,0.23,0.41,42.9,1.6,1.00,0.59,0.18,0.22,0.648
3207,2014,BRYAN,"ROCK CREEK",07I002,3301,50740.85,41683.75,0.03,0.14,0.08,120.5,1.5,0.00,0.67,0.15,0.18,0.743
4242,2016,BRYAN,"ROCK CREEK",07I002,3252,52472.52,43733.95,0.08,0.16,0.20,77.8,1.0,0.00,0.16,0.69,0.15,0.743
3725,2015,BRYAN,"ROCK CREEK",07I002,3142,56256.31,41572.96,0.05,0.17,0.17,0.2,0.7,0.17,481.00,1.00,0.00,0.751
3724,2015,BRYAN,SILO,07I001,6982,64872.11,55477.39,0.03,0.11,0.29,0.3,0.6,0.10,144.83,1.67,0.00,0.761
3206,2014,BRYAN,SILO,07I001,7125,62277.21,52658.66,0.04,0.11,0.34,144.8,1.5,0.00,0.61,0.12,0.27,0.763
4241,2016,BRYAN,SILO,07I001,7454,64348.77,57167.71,0.03,0.11,0.26,889.0,1.0,0.00,0.28,0.60,0.11,0.715
4251,2016,CADDO,ANADARKO,08I020,9272,53555.52,17880.33,0.14,0.31,0.44,58.8,2.4,5.00,0.18,0.68,0.14,0.851
3734,2015,CADDO,ANADARKO,08I020,9067,45655.25,17904.84,0.15,0.30,0.47,0.2,0.7,0.16,46.00,1.79,5.00,0.800
3216,2014,CADDO,ANADARKO,08I020,8874,46370.81,17778.22,0.15,0.28,0.35,60.3,1.2,0.00,0.67,0.18,0.15,0.818
3224,2014,CADDO,BINGER-ONEY,08I168,2226,50066.20,56264.42,0.08,0.16,0.17,133.0,1.0,0.00,0.72,0.17,0.11,0.752
4259,2016,CADDO,BINGER-ONEY,08I168,2146,51383.85,57565.33,0.08,0.21,0.19,122.3,7.0,0.00,0.12,0.70,0.18,0.700
3742,2015,CADDO,BINGER-ONEY,08I168,2098,49613.32,56690.16,0.08,0.19,0.11,0.1,0.7,0.19,396.00,2.00,0.00,0.667
3736,2015,CADDO,BOONE-APACHE,08I056,3041,60693.56,44342.99,0.09,0.10,0.25,0.2,0.7,0.11,603.00,4.00,0.00,0.765
3218,2014,CADDO,BOONE-APACHE,08I056,3155,54684.42,45122.72,0.13,0.13,0.28,147.8,1.0,0.00,0.73,0.12,0.15,0.761
4253,2016,CADDO,BOONE-APACHE,08I056,2462,57878.19,43627.17,0.13,0.17,0.37,0.0,0.0,0.00,0.19,0.68,0.13,0.804
4252,2016,CADDO,CARNEGIE,08I033,2829,43842.23,29746.02,0.09,0.23,0.33,95.2,1.8,0.00,0.13,0.68,0.18,0.839
3735,2015,CADDO,CARNEGIE,08I033,2800,45130.98,30299.71,0.09,0.23,0.34,0.1,0.7,0.17,281.50,5.50,0.00,0.828
3217,2014,CADDO,CARNEGIE,08I033,2669,44738.90,31196.35,0.10,0.25,0.32,185.7,1.3,0.00,0.68,0.18,0.13,0.806
3221,2014,CADDO,CEMENT,08I160,1637,50108.76,38022.86,0.12,0.10,0.30,244.0,1.0,0.00,0.70,0.21,0.09,0.717
4256,2016,CADDO,CEMENT,08I160,1485,50184.90,31417.66,0.10,0.12,0.19,127.5,1.0,0.00,0.08,0.69,0.23,0.808
