Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ReportCardType,Performance_Multiplier,SchoolName,ELA_ExamCount_bq,ELA_GrowthIndex_bq,ELA_LetterGradeas_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,Math_LetterGrade_bq,OverallExamCount_bq,OverallGrowthIndex_bq,OverallLetterGrade_bq,AttendenceRate,AttendenceRate_Bonus,DropOutRate,DropOutRate_Bonus,AP_participationIndex,AP_PerformanceIndex,AP_Bonus,GradRate,GradRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,OverallParticipation_County,OverallPArticipation_Rate,ELA_ExamCounty,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCounty,Math_GrowthIndex,Math_LetterGrade,Science_ExamCounty,Science_GrowthIndex,Science_LetterGrade,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,SocialStudies_LetterGrade,Writing_ExamCounty,Writing_GrowthIndex,Writing_LetterGrade,Overall_ExamCounty,Overall_GrowthIndex,Overall_LetterGrade,ReportCardType,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,OverallLetterGrade,DistrictCode,Grade_Group
2016,50,I010,505,50I010505,DAVIS,"DAVIS MS",NULL,NULL,"DAVIS MS",73,51,"F    ",72,39,"F    ",145,45,"F    ","> 0.95",6,"< 0.05",2,"< 0.05",N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,1040,0.99,294,78,C,293,58,F,NULL,NULL,,NULL,NULL,,NULL,NULL,,587,68,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,72,G001,972,72G001972,"DEBORAH BROWN (CHARTER)","DEBORAH BROWN COMMUNITY SCHOOL",NULL,NULL,"Deborah Brown Community School",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",0.95,6,0.12,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,1.00,24,96,A,24,96,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,96,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,72,G001,972,72G001972,"DEBORAH BROWN (CHARTER)","DEBORAH BROWN COMMUNITY SCHOOL",Elementary,100,"DEBORAH BROWN COMMUNITY SCHOOL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,40,1.00,20,100,A,20,95,A,0,0,N/,0,0,N/,0,0,N/,40,98,A,Elementary,100,0,0,10,108,A+,72G001,A
2016,72,G001,972,72G001972,"DEBORAH BROWN (CHARTER)","DEBORAH BROWN COMMUNITY SCHOOL",NULL,NULL,"DEBORAH BROWN COMMUNITY SCHOOL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,42,1.00,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,105,55I006105,"DEER CREEK","DEER CREEK ES",NULL,NULL,"Deer Creek ES",18,83,"B    ",19,74,"C    ",37,78,"C    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,332,1.00,159,91,A,159,83,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,318,87,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,105,55I006105,"DEER CREEK","DEER CREEK ES",Elementary,50,"DEER CREEK ES",19,84,"B    ",19,74,"C    ",38,79,"C    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,346,1.00,165,93,A,166,89,B,0,0,N/,0,0,N/,0,0,N/,331,91,A,Elementary,50,25,25,10,99,A+,55I006,A
2016,55,I006,105,55I006105,"DEER CREEK","DEER CREEK ES",NULL,NULL,"DEER CREEK ES",20,85,"B    ",20,85,"B    ",40,85,"B    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,376,1.00,81,96,A,82,96,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,163,96,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,705,55I006705,"DEER CREEK","DEER CREEK HS",NULL,NULL,"Deer Creek HS",74,95,"A    ",53,89,"B    ",127,92,"A    ",NULL,NULL,NULL,NULL,0.95,0.56,1,0.95,5,0.94,1,0.95,0.83,1,0.84,1,5,1,1894,0.99,611,96,A,831,90,A,352,76,C,278,91,A,NULL,NULL,NULL,2072,89,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,705,55I006705,"DEER CREEK","DEER CREEK HS","High School",50,"DEER CREEK HS",75,89,"B    ",69,87,"B    ",144,88,"B    ",,0,,0,"> 0.95","> 0.95",1,"> 0.95",5,0.81,0,0.92,0.79,1,0.84,1,4,1,2044,0.99,675,95,A,916,86,B,365,58,F,334,85,B,0,0,N/,2290,84,B,"High School",50,25,25,9,97,A+,55I006,A
2016,55,I006,705,55I006705,"DEER CREEK","DEER CREEK HS",NULL,NULL,"DEER CREEK HS",79,76,"C    ",85,82,"B    ",164,79,"C    ",N/A,0,N/A,0,"> 0.95","> 0.95",1,"> 0.95",5,0.94,1,"> 0.95",0.82,1,0.80,1,5,1,1850,0.99,321,91,A,343,94,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,664,93,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,125,55I006125,"DEER CREEK","DEER CREEK INTERMEDIATE SCHOOL",NULL,NULL,"Deer Creek Intermediate School",169,67,"D    ",170,56,"F    ",339,62,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2722,1.00,753,83,B,755,82,B,367,69,D,NULL,NULL,B,NULL,NULL,NULL,2244,82,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,125,55I006125,"DEER CREEK","DEER CREEK INTERMEDIATE SCHOOL",Elementary,50,"DEER CREEK INTERMEDIATE SCHOOL",184,60,"D    ",185,65,"D    ",369,63,"D    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,2797,1.00,766,85,B,767,84,B,369,77,C,369,95,A,0,0,N/,2271,85,B,Elementary,50,25,25,10,90,A-,55I006,A
2016,55,I006,125,55I006125,"DEER CREEK","DEER CREEK INTERMEDIATE SCHOOL",NULL,NULL,"DEER CREEK INTERMEDIATE SCHOOL",191,68,"D    ",191,61,"D    ",382,64,"D    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,2574,1.00,768,89,B,768,87,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,1536,88,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,505,55I006505,"DEER CREEK","DEER CREEK MS",NULL,NULL,"Deer Creek MS",169,66,"D    ",167,65,"D    ",336,65,"D    ",0.95,6,0.05,2,0.95,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2595,1.00,729,86,B,725,81,B,356,70,C,NULL,NULL,B,NULL,NULL,NULL,2169,82,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,505,55I006505,"DEER CREEK","DEER CREEK MS","Middle School",50,"DEER CREEK MS",186,74,"C    ",186,57,"F    ",372,65,"D    ","> 0.95",6,"< 0.05",2,0.21,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,3234,0.99,772,90,A,771,83,B,371,74,C,773,88,B,0,0,N/,2687,85,B,"Middle School",50,25,25,8,89,B+,55I006,B
2016,55,I006,505,55I006505,"DEER CREEK","DEER CREEK MS",NULL,NULL,"DEER CREEK MS",202,70,"C    ",202,49,"F    ",404,60,"D    ","> 0.95",6,"< 0.05",2,"> 0.95",N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,3052,1.00,809,91,A,810,83,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,1619,87,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,120,55I006120,"DEER CREEK","GROVE VALLEY ES",NULL,NULL,"Grove Valley ES",17,76,"C    ",17,47,"F    ",34,62,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,342,1.00,163,90,A,163,83,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326,87,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,120,55I006120,"DEER CREEK","GROVE VALLEY ES",Elementary,50,"GROVE VALLEY ES",20,50,"F    ",20,35,"F    ",40,43,"F    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,398,0.98,178,86,B,178,80,B,0,0,N/,0,0,N/,0,0,N/,356,83,B,Elementary,50,25,25,10,82,B-,55I006,B
2016,55,I006,120,55I006120,"DEER CREEK","GROVE VALLEY ES",NULL,NULL,"GROVE VALLEY ES",21,71,"C    ",21,76,"C    ",42,74,"C    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,404,0.99,86,93,A,86,94,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,172,94,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,110,55I006110,"DEER CREEK","PRAIRIE VALE ES",NULL,NULL,"Prairie Vale ES",22,77,"C    ",22,50,"F    ",44,64,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,386,1.00,183,90,A,183,86,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,366,88,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,110,55I006110,"DEER CREEK","PRAIRIE VALE ES",Elementary,50,"PRAIRIE VALE ES",22,50,"F    ",22,59,"F    ",44,55,"F    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,394,1.00,185,85,B,185,88,B,0,0,N/,0,0,N/,0,0,N/,370,87,B,Elementary,50,25,25,10,89,B+,55I006,B
2016,55,I006,110,55I006110,"DEER CREEK","PRAIRIE VALE ES",NULL,NULL,"PRAIRIE VALE ES",24,50,"F    ",24,50,"F    ",48,50,"F    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,444,1.00,100,86,B,100,86,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,200,86,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,115,55I006115,"DEER CREEK","ROSE UNION ES",NULL,NULL,"Rose Union ES",13,69,"D    ",14,64,"D    ",27,67,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,1.00,115,87,B,115,90,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,89,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,115,55I006115,"DEER CREEK","ROSE UNION ES",Elementary,50,"ROSE UNION ES",14,79,"C    ",14,79,"C    ",28,79,"C    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,230,1.00,109,91,A,109,90,A,0,0,N/,0,0,N/,0,0,N/,218,90,A,Elementary,50,25,25,10,97,A+,55I006,A
2016,55,I006,115,55I006115,"DEER CREEK","ROSE UNION ES",NULL,NULL,"ROSE UNION ES",12,92,"A    ",12,58,"F    ",24,75,"C    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,226,1.00,49,92,A,49,82,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,98,87,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,I006,130,55I006130,"DEER CREEK","SPRING CREEK ES",NULL,NULL,"Spring Creek ES",10,90,"A    ",11,91,"A    ",21,90,"A    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,256,0.99,114,88,B,114,95,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,91,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,I006,130,55I006130,"DEER CREEK","SPRING CREEK ES",Elementary,50,"SPRING CREEK ES",16,50,"F    ",16,100,"A    ",32,75,"C    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,280,1.00,129,89,B,129,92,A,0,0,N/,0,0,N/,0,0,N/,258,91,A,Elementary,50,25,25,10,98,A+,55I006,A
2016,55,I006,130,55I006130,"DEER CREEK","SPRING CREEK ES",NULL,NULL,"SPRING CREEK ES",15,53,"F    ",15,80,"B    ",30,67,"D    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,322,1.00,61,87,B,61,95,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,122,91,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,27,I095,105,27I095105,"DEER CREEK-LAMONT","DEER CREEK-LAMONT ES",NULL,NULL,"Deer Creek-Lamont ES",13,54,"F    ",13,46,"F    ",26,50,"F    ",0.95,6,0.05,2,0.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,223,1.00,71,70,C,71,70,C,20,55,F,20,60,D,NULL,NULL,NULL,182,68,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,27,I095,105,27I095105,"DEER CREEK-LAMONT","DEER CREEK-LAMONT ES","Middle School",50,"DEER CREEK-LAMONT ES",14,64,"D    ",14,57,"F    ",28,61,"D    ","> 0.95",6,"< 0.05",2,"< 0.05",,0,,0,0.00,0,,0.00,0,0.00,0,0,0,268,0.99,69,86,B,70,81,B,32,69,D,42,79,C,0,0,N/,213,80,B,"Middle School",50,25,25,8,85,B,27I095,B
2016,27,I095,105,27I095105,"DEER CREEK-LAMONT","DEER CREEK-LAMONT ES",NULL,NULL,"DEER CREEK-LAMONT ES",12,25,"F    ",12,25,"F    ",24,25,"F    ","> 0.95",6,"< 0.05",2,"< 0.05",N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,184,1.00,52,73,C,52,71,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,104,72,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,27,I095,705,27I095705,"DEER CREEK-LAMONT","DEER CREEK-LAMONT HS",NULL,NULL,"Deer Creek-Lamont HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",NULL,NULL,NULL,NULL,0.05,NULL,0,0.92,5,0.80,0,0.71,0.40,0,0.50,0,2,0,98,0.96,26,65,D,39,72,C,12,33,F,13,46,F,NULL,NULL,NULL,90,61,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,27,I095,705,27I095705,"DEER CREEK-LAMONT","DEER CREEK-LAMONT HS","High School",50,"DEER CREEK-LAMONT HS",,,,,,,,,"",,0,,0,0.11,"> 0.95",1,0.88,0,0.80,0,0.67,0.63,0,0.29,0,2,0,112,0.98,28,82,B,37,68,D,16,50,F,15,67,D,0,0,N/,96,69,D,"High School",50,50,0,1,77,C+,27I095,C
2016,27,I095,705,27I095705,"DEER CREEK-LAMONT","DEER CREEK-LAMONT HS",NULL,NULL,"DEER CREEK-LAMONT HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",N/A,0,N/A,0,0.23,"> 0.95",1,0.92,5,0.00,1,0.64,0.44,0,0.33,0,4,1,102,0.97,10,90,A,19,95,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,29,93,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,48,C037,105,48C037105,DENISON,"DENISON PUBLIC SCHOOL",NULL,NULL,"Denison Public School",26,73,"C    ",26,77,"C    ",52,75,"C    ",0.95,6,0.05,2,0.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,440,1.00,137,84,B,137,87,B,52,56,F,52,62,D,NULL,NULL,NULL,378,78,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,48,C037,105,48C037105,DENISON,"DENISON PUBLIC SCHOOL","Middle School",50,"DENISON PUBLIC SCHOOL",24,25,"F    ",24,58,"F    ",48,42,"F    ","> 0.95",6,"< 0.05",2,"< 0.05",,0,,0,0.00,0,,0.00,0,0.00,0,0,0,382,1.00,126,74,C,126,90,A,33,70,C,53,72,C,0,0,N/,338,79,C,"Middle School",50,25,25,8,79,C+,48C037,C
2016,48,C037,105,48C037105,DENISON,"DENISON PUBLIC SCHOOL",NULL,NULL,"DENISON PUBLIC SCHOOL",27,44,"F    ",27,44,"F    ",54,44,"F    ","> 0.95",6,"< 0.05",2,"< 0.05",N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,426,1.00,110,82,B,110,78,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,220,80,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,19,I021,105,19I021105,DEPEW,"DEPEW ES",NULL,NULL,"Depew ES",25,60,"D    ",26,62,"D    ",51,61,"D    ",0.95,6,0.05,2,0.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,473,1.00,146,68,D,146,74,C,52,50,F,52,73,C,NULL,NULL,NULL,396,68,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,19,I021,105,19I021105,DEPEW,"DEPEW ES","Middle School",50,"DEPEW ES",30,63,"D    ",30,37,"F    ",60,50,"F    ","> 0.95",6,"< 0.05",2,"< 0.05",,0,,0,0.00,0,,0.00,0,0.00,0,0,0,485,0.98,143,67,D,143,71,C,44,52,F,76,67,D,0,0,N/,406,67,D,"Middle School",50,25,25,8,73,C,19I021,C
2016,19,I021,105,19I021105,DEPEW,"DEPEW ES",NULL,NULL,"DEPEW ES",29,52,"F    ",29,34,"F    ",58,43,"F    ","> 0.95",6,"< 0.05",2,0.29,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,486,0.99,117,81,B,117,74,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,234,77,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,19,I021,705,19I021705,DEPEW,"DEPEW HS",NULL,NULL,"Depew HS",NULL,NULL,NULL,NULL,NULL,NULL,12,75,"C    ",NULL,NULL,NULL,NULL,0.45,0.95,1,0.79,0,0.79,0,0.58,0.48,0,0.45,0,3,1,217,1.00,70,74,C,76,84,B,32,41,F,23,52,F,NULL,NULL,NULL,201,70,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,19,I021,705,19I021705,DEPEW,"DEPEW HS","High School",50,"DEPEW HS",,,,,,,12,67,"D    ",,0,,0,0.35,0.84,0,0.86,0,0.71,0,0.49,0.35,0,0.73,0,2,0,212,1.00,64,84,B,76,75,C,27,52,F,34,79,C,0,0,N/,201,76,C,"High School",50,25,25,0,77,C+,19I021,C
2016,19,I021,705,19I021705,DEPEW,"DEPEW HS",NULL,NULL,"DEPEW HS",NULL,NULL,NULL,NULL,NULL,NULL,16,69,"D    ",N/A,0,N/A,0,0.65,"> 0.95",1,"> 0.95",5,0.88,1,0.67,0.50,0,0.36,0,4,1,219,1.00,29,90,A,36,83,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,65,86,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,56,I008,105,56I008105,DEWAR,"DEWAR ES",NULL,NULL,"Dewar ES",27,44,"F    ",27,67,"D    ",54,56,"F    ",0.95,6,0.05,2,0.33,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,502,0.96,148,55,F,148,43,F,48,48,F,48,77,C,NULL,NULL,NULL,392,52,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,56,I008,105,56I008105,DEWAR,"DEWAR ES",Elementary,50,"DEWAR ES",11,55,"F    ",11,55,"F    ",22,55,"F    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,252,1.00,76,68,D,76,55,F,21,29,F,21,52,F,0,0,N/,194,57,F,Elementary,50,25,25,10,68,D+,56I008,D
2016,56,I008,105,56I008105,DEWAR,"DEWAR ES",NULL,NULL,"DEWAR ES",14,36,"F    ",14,7,"F    ",28,21,"F    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,236,1.00,59,46,F,59,37,F,NULL,NULL,,NULL,NULL,,NULL,NULL,,118,42,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,56,I008,715,56I008715,DEWAR,"DEWAR HS",NULL,NULL,"Dewar HS",NULL,NULL,NULL,NULL,NULL,NULL,10,80,"B    ",NULL,NULL,NULL,NULL,0.95,0.95,1,0.88,0,0.82,0,0.76,0.27,1,0.30,0,2,0,187,0.99,43,86,B,61,56,F,30,27,F,33,85,B,NULL,NULL,NULL,167,64,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,56,I008,715,56I008715,DEWAR,"DEWAR HS","High School",50,"DEWAR HS",,,,,,,,,"",,0,,0,"> 0.95","> 0.95",1,"> 0.95",5,0.00,1,0.74,0.29,0,0.69,0,4,1,192,1.00,68,84,B,65,52,F,11,9,F,30,63,D,0,0,N/,174,64,D,"High School",50,50,0,8,87,B+,56I008,B
2016,56,I008,715,56I008715,DEWAR,"DEWAR HS",NULL,NULL,"DEWAR HS",NULL,NULL,NULL,NULL,NULL,NULL,12,67,"D    ",N/A,0,N/A,0,0.92,0.93,1,0.78,0,0.83,0,0.75,0.30,1,0.50,0,2,0,175,0.99,17,76,C,32,78,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,49,78,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,56,I008,515,56I008515,DEWAR,"DEWAR MS","Middle School",50,"DEWAR MS",21,67,"D    ",21,38,"F    ",42,52,"F    ","> 0.95",6,"< 0.05",2,0.68,,2,,0,0.00,0,,0.00,0,0.00,0,0,0,319,0.99,87,56,F,87,44,F,32,31,F,62,71,C,0,0,N/,268,53,F,"Middle School",50,25,25,10,65,D,56I008,D
2016,56,I008,515,56I008515,DEWAR,"DEWAR MS",NULL,NULL,"DEWAR MS",18,61,"D    ",18,50,"F    ",36,56,"F    ","> 0.95",6,"< 0.05",2,0.52,N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,221,1.00,72,65,D,72,51,F,NULL,NULL,,NULL,NULL,,NULL,NULL,,144,58,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,74,I007,115,74I007115,DEWEY,"DEWEY ES",NULL,NULL,"Dewey ES",38,42,"F    ",39,69,"D    ",77,56,"F    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,821,1.00,263,70,C,263,77,C,87,59,F,87,72,C,NULL,NULL,NULL,700,72,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,74,I007,115,74I007115,DEWEY,"DEWEY ES",Elementary,50,"DEWEY ES",42,50,"F    ",42,45,"F    ",84,48,"F    ",0.95,10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,782,0.99,255,82,B,255,81,B,84,81,B,84,92,A,0,0,N/,678,83,B,Elementary,50,25,25,10,85,B,74I007,B
2016,74,I007,115,74I007115,DEWEY,"DEWEY ES",NULL,NULL,"DEWEY ES",43,47,"F    ",43,56,"F    ",86,51,"F    ",0.95,10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,770,1.00,177,80,B,177,84,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,354,82,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,74,I007,705,74I007705,DEWEY,"DEWEY HS",NULL,NULL,"Dewey HS",20,80,"B    ",15,67,"D    ",35,74,"C    ",NULL,NULL,NULL,NULL,0.17,0.88,0,0.9,5,0.86,1,0.57,0.61,0,0.79,0,4,1,649,1.00,184,84,B,222,84,B,101,43,F,92,90,A,NULL,NULL,NULL,599,78,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,74,I007,705,74I007705,DEWEY,"DEWEY HS","High School",50,"DEWEY HS",16,75,"C    ",16,63,"D    ",32,69,"D    ",,0,,0,0.52,"> 0.95",1,0.89,0,0.84,0,0.62,0.63,0,0.73,0,2,0,553,0.99,166,83,B,202,77,C,67,36,F,85,84,B,0,0,N/,520,75,C,"High School",50,25,25,1,77,C+,74I007,C
2016,74,I007,705,74I007705,DEWEY,"DEWEY HS",NULL,NULL,"DEWEY HS",20,40,"F    ",19,53,"F    ",39,46,"F    ",N/A,0,N/A,0,0.25,"> 0.95",1,0.84,0,0.75,0,0.64,0.48,0,0.73,0,2,0,534,0.99,82,76,C,79,78,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,161,77,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,74,I007,510,74I007510,DEWEY,"DEWEY MS",NULL,NULL,"Dewey MS",58,74,"C    ",54,72,"C    ",112,73,"C    ",0.95,6,0.05,2,0.06,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,833,1.00,272,80,B,255,77,C,89,42,F,NULL,NULL,F,NULL,NULL,NULL,706,71,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,74,I007,510,74I007510,DEWEY,"DEWEY MS","Middle School",50,"DEWEY MS",64,61,"D    ",64,59,"F    ",128,60,"D    ",0.95,6,"< 0.05",2,0.08,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,921,1.00,262,77,C,262,79,C,82,38,F,171,60,D,0,0,N/,777,70,C,"Middle School",50,25,25,8,79,C+,74I007,C
2016,74,I007,510,74I007510,DEWEY,"DEWEY MS",NULL,NULL,"DEWEY MS",68,32,"F    ",68,49,"F    ",136,40,"F    ","> 0.95",6,"< 0.05",2,0.46,N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,873,1.00,273,73,C,273,79,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,546,76,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
