RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6572,2016,25I005705,25I005,PAOLI HIGH SCHOOL,1.00,0.00,2.87,0.31,,19.00,1.00,0.01,,,,,
6573,2016,25I007715,25I007,MAYSVILLE HIGH SCHOOL,1.00,0.05,3.16,1.00,,18.67,0.90,0.00,,,,,
6574,2016,25I009705,25I009,LINDSAY HIGH SCHOOL,1.00,0.06,3.04,0.59,,21.12,0.71,0.01,,,,,
6575,2016,25I018705,25I018,PAULS VALLEY HIGH SCHOOL,1.00,0.04,3.44,0.49,,21.33,0.81,0.00,,,,,
6576,2016,25I038705,25I038,WYNNEWOOD HIGH SCHOOL,1.00,0.08,3.29,0.33,,19.39,0.92,0.03,,,,,
6577,2016,25I072715,25I072,SENIOR HIGH SCHOOL,1.00,0.03,3.15,0.68,,21.20,0.97,0.00,,,,,
6578,2016,26I001705,26I001,CHICKASHA HIGH SCHOOL,1.00,0.02,2.88,0.39,,20.92,0.84,0.03,,,,,
6579,2016,26I002715,26I002,MINCO HIGH SCHOOL,1.00,0.02,3.15,0.91,,20.05,0.77,0.00,,,,,
6580,2016,26I051705,26I051,SENIOR HIGH SCHOOL,1.00,0.03,2.65,0.96,,17.31,0.91,0.00,,,,,
6581,2016,26I056715,26I056,ALEX HIGH SCHOOL,1.00,0.12,2.96,0.91,,18.64,0.91,0.00,,,,,
6582,2016,26I068705,26I068,RUSH SPRINGS HIGH SCHOOL,0.97,0.06,3.28,0.83,,19.07,0.94,0.00,,,,,
6583,2016,26I095705,26I095,BRIDGE CREEK HIGH SCHOOL,1.00,0.03,3.17,0.38,,21.06,0.84,0.02,,,,,
6584,2016,26I097705,26I097,TUTTLE HIGH SCHOOL,1.00,0.01,3.55,0.29,,22.19,0.92,0.04,,,,,
6585,2016,26I099705,26I099,VERDEN HIGH SCHOOL,1.00,0.05,2.72,1.00,,19.00,0.95,0.00,,,,,
6586,2016,26I128715,26I128,AMBER-POCASSET HIGH SCHOOL,1.00,0.00,3.19,0.65,,20.56,0.97,0.00,,,,,
6587,2016,27I054705,27I054,MEDFORD HIGH SCHOOL,1.00,0.06,3.23,0.71,,20.35,1.00,0.00,,,,,
6588,2016,27I090705,27I090,POND CREEK-HUNTER HIGH SCHOOL,1.00,0.05,3.63,0.80,,22.25,1.00,0.10,,,,,
6589,2016,27I095705,27I095,DEER CREEK-LAMONT HIGH SCHOOL,1.00,0.00,3.32,1.00,,21.13,0.93,0.07,,,,,
6590,2016,28I001705,28I001,MANGUM HIGH SCHOOL,1.00,0.00,3.08,0.94,,19.30,0.77,0.02,,,,,
6591,2016,28I003715,28I003,GRANITE HIGH SCHOOL,1.00,0.05,3.02,0.71,,20.67,0.57,0.00,,,,,
6592,2016,29I066705,29I066,HOLLIS HIGH SCHOOL,1.00,0.00,3.20,0.63,,18.96,1.00,0.05,,,,,
6593,2016,30I001705,30I001,LAVERNE HIGH SCHOOL,1.00,0.00,3.49,0.92,,19.70,0.76,0.04,,,,,
6594,2016,30I004715,30I004,BUFFALO HIGH SCHOOL,1.00,0.00,3.30,0.79,,19.67,1.00,0.14,,,,,
6595,2016,31I013705,31I013,KINTA HIGH SCHOOL,1.00,0.00,FTR,0.52,,16.50,FTR,FTR,,,,,
6596,2016,31I020705,31I020,STIGLER HIGH SCHOOL,0.98,0.06,3.58,0.53,,19.41,0.42,0.04,,,,,
6597,2016,31I037705,31I037,McCURTAIN HIGH SCHOOL,0.95,0.10,2.95,1.06,,19.27,0.65,0.00,,,,,
6598,2016,31I043705,31I043,KEOTA HIGH SCHOOL,1.00,0.04,3.12,0.87,,17.89,1.00,0.00,,,,,
6599,2016,32I001705,32I001,MOSS HIGH SCHOOL,1.00,0.00,3.47,0.80,,19.73,1.00,0.00,,,,,
6600,2016,32I005705,32I005,WETUMKA HIGH SCHOOL,1.00,0.14,3.17,0.38,,18.90,0.71,0.00,,,,,
6601,2016,32I035705,32I035,HOLDENVILLE HIGH SCHOOL,1.00,0.00,2.99,0.45,,18.07,0.98,0.00,,,,,
6602,2016,32I048705,32I048,CALVIN HIGH SCHOOL,1.00,0.08,3.10,0.73,,18.55,1.00,0.00,,,,,
6603,2016,32I054705,32I054,STUART HIGH SCHOOL,1.00,0.00,3.73,0.78,,19.74,0.88,0.00,,,,,
6604,2016,33I001705,33I001,NAVAJO HIGH SCHOOL,1.00,0.00,3.48,0.75,,20.81,1.00,0.15,,,,,
6605,2016,33I014705,33I014,DUKE HIGH SCHOOL,1.00,0.00,3.44,0.71,,18.06,0.68,0.04,,,,,
6606,2016,33I018705,33I018,ALTUS HIGH SCHOOL,0.99,0.05,3.03,0.63,,21.27,0.08,0.05,,,,,
