RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2015,55I089343,55I089,NORTH HIGHLAND ELEMENTARY,463,23.623,49927.8669,0.1702,7.8211,3,0.4,3.207,2.9,,,,,,
,2015,55I089344,55I089,OAKRIDGE ELEMENTARY,280,13.629,48612.2973,0.1027,7.8069,1.191,0.39,1,1,,,,,,
,2015,55I089350,55I089,THELMA R. PARKS ELEMENTARY,349,16.242,48615.5646,0.2851,13.6099,1.956,0.3,2.664,2,,,,,,
,2015,55I089352,55I089,PARMELEE ELEMENTARY,1021,47.827,48586.9697,0.1494,7.455,2.4,1,4.138,2.976,,,,,,
,2015,55I089353,55I089,PIERCE ELEMENTARY,283,18.086,50235.1543,0.1108,9.1547,1,0.2,1.123,1,,,,,,
,2015,55I089360,55I089,PRAIRIE QUEEN ELEMENTARY,888,41.745,50678.5004,0.4185,12.6227,4.741,0.8,3.763,2.986,,,,,,
,2015,55I089365,55I089,PUTNAM HEIGHTS ELEMENTARY,403,20.536,48435.8687,0.0487,6.9599,1.873,0.3,2.837,1.976,,,,,,
,2015,55I089368,55I089,QUAIL CREEK ELEMENTARY,413,23.9,53223.5983,0.4184,13.7071,2,0.3,1.468,1,,,,,,
,2015,55I089370,55I089,RANCHO VILLAGE ELEMENTARY,452,20.906,49469.6738,0.3821,7.8649,3,0.3,2.635,1,,,,,,
,2015,55I089375,55I089,RIDGEVIEW ELEMENTARY,339,20.339,56109.7891,0.3086,18.2186,3.768,0.3,1.956,1,,,,,,
,2015,55I089385,55I089,ROCKWOOD ELEMENTARY,615,33.455,49135.9438,0.2543,10.0113,1.765,0.5,2.815,2,,,,,,
,2015,55I089395,55I089,SEQUOYAH ELEMENTARY,395,23.199,49214.7075,0.1724,8.9228,2.5,0.3,1.789,1,,,,,,
,2015,55I089400,55I089,SHIDLER ELEMENTARY,358,20.796,48513.8488,0.4107,8.1699,1,0.3,5.658,0.367,,,,,,
,2015,55I089407,55I089,SOUTHERN HILLS ELEMENTARY,576,26.791,51580.7547,0.1563,9.5033,1.762,0.417,3.135,2.5,,,,,,
,2015,55I089408,55I089,SPENCER ELEMENTARY,249,14.697,49595.0194,0.1701,10.2572,2,0.186,1.1,1,,,,,,
,2015,55I089410,55I089,STAND WATIE ELEMENTARY,774,36.199,51147.0483,0.3004,7.347,2.489,0.5,2.82,1.852,,,,,,
,2015,55I089417,55I089,TELSTAR ELEMENTARY,254,13.403,57575.692,0.4481,14.7949,3.127,0.2,1.3,1,,,,,,
,2015,55I089440,55I089,VAN BUREN ELEMENTARY,454,27.614,51500.3983,0.2245,11.9287,1.5,0.28,2.775,1,,,,,,
,2015,55I089455,55I089,WEST NICHOLS HILLS ELEMENTARY,355,20.7,52405.2657,0.2899,10.3671,1,0.278,1.3,1,,,,,,
,2015,55I089460,55I089,WESTWOOD ELEMENTARY,400,23.952,50416.1239,0.2339,10.497,2,0.3,1.97,1,,,,,,
,2015,55I089465,55I089,WHEELER ELEMENTARY,500,28.449,51140.8485,0.2772,7.6581,3.046,0.4,3.512,2,,,,,,
,2015,55I089477,55I089,WILLOW BROOK ELEMENTARY,490,24.028,50439.8618,0.1706,11.5982,4.641,0.4,3.6,2,,,,,,
,2015,55I089480,55I089,WILSON ELEMENTARY,377,21.7,50378.2949,0.2765,8.6544,1.472,0.3,1.4,1,,,,,,
,2015,55I089503,55I089,BELLE ISLE MIDDLE SCHOOL,450,23.282,48612.791,0.2269,8.2335,0.2,1,2.196,2,,,,,,
,2015,55I089508,55I089,CLASSEN MIDDLE SCHOOL OF ADVANCED STUDIES,431,15.834,54926.9294,0.564,16.155,1,1,0.785,1.5,,,,,,
,2015,55I089512,55I089,DOUGLASS MIDDLE SCHOOL,237,14.736,47566.8431,0.1663,4.6863,3,0.5,3.531,1.138,,,,,,
,2015,55I089518,55I089,JEFFERSON MIDDLE SCHOOL,858,52.166,50295.1348,0.2993,10.7738,11.093,3.464,5.655,4,,,,,,
,2015,55I089521,55I089,NORTHEAST MIDDLE SCHOOL,155,8.878,51867.3125,0.4179,9.2365,0.5,0.5,0.8,0.325,,,,,,
,2015,55I089522,55I089,ROGERS MIDDLE SCHOOL,323,23.001,52112.9081,0.3981,11.7374,6.801,1,2.964,2.934,,,,,,
,2015,55I089523,55I089,ROOSEVELT MIDDLE SCHOOL,753,43.911,48555.6922,0.2954,7.2206,7.215,1.974,6.671,4,,,,,,
,2015,55I089525,55I089,TAFT MIDDLE SCHOOL,591,33.061,52053.0232,0.3327,10.9579,10.829,2,5.656,4,,,,,,
