Year,SchoolName,SchoolCode,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2014,"OBUCH MS",64I013510,"Middle School",0.0534,0.1845,0.0000,0.0049,0.0000,0.4223,0.3350,206
2015,"OBUCH MS",64I013510,"Middle School",0.0580,0.2143,0.0000,0.0000,0.0000,0.4866,0.2411,224
2016,"OBUCH MS",64I013510,"Middle School",0.0489,0.3156,0.0000,0.0000,0.0000,0.4489,0.1867,225
2014,"ARAPAHO-BUTLER ES",20I005105,"Elementary School",0.1513,0.0461,0.0000,0.0033,0.0000,0.7697,0.0296,304
2015,"ARAPAHO-BUTLER ES",20I005105,"Elementary School",0.1456,0.0324,0.0000,0.0032,0.0000,0.7799,0.0388,309
2016,"ARAPAHO-BUTLER ES",20I005105,"Elementary School",0.1180,0.0501,0.0118,0.0118,0.0000,0.7699,0.0383,339
2014,"ARAPAHO-BUTLER HS",20I005715,"High School",0.1034,0.0000,0.0115,0.0000,0.0000,0.8391,0.0460,87
2015,"ARAPAHO-BUTLER HS",20I005715,"High School",0.0879,0.0330,0.0000,0.0000,0.0000,0.8681,0.0110,91
2016,"ARAPAHO-BUTLER HS",20I005715,"High School",0.1158,0.0211,0.0000,0.0000,0.0000,0.8316,0.0316,95
2014,"ARDMORE HS",10I019705,"High School",0.1158,0.1018,0.0102,0.1985,0.0000,0.3906,0.1832,786
2015,"ARDMORE HS",10I019705,"High School",0.1369,0.1141,0.0152,0.1926,0.0013,0.3739,0.1660,789
2016,"ARDMORE HS",10I019705,"High School",0.1469,0.1131,0.0195,0.1873,0.0039,0.3693,0.1599,769
2014,"ARDMORE MS",10I019505,"Middle School",0.1306,0.1291,0.0171,0.1680,0.0047,0.4075,0.1431,643
2015,"ARDMORE MS",10I019505,"Middle School",0.1576,0.1106,0.0106,0.1803,0.0061,0.4015,0.1333,660
2016,"ARDMORE MS",10I019505,"Middle School",0.1740,0.1150,0.0076,0.1755,0.0030,0.3661,0.1589,661
2014,"CHARLES EVANS ES",10I019110,"Elementary School",0.1064,0.1135,0.0113,0.1617,0.0014,0.4298,0.1759,705
2015,"CHARLES EVANS ES",10I019110,"Elementary School",0.1300,0.1093,0.0133,0.1315,0.0000,0.4284,0.1876,677
2016,"CHARLES EVANS ES",10I019110,"Elementary School",0.1385,0.0989,0.0122,0.1309,0.0000,0.4201,0.1994,657
2014,"JEFFERSON ES",10I019120,"Elementary School",0.2165,0.1063,0.0000,0.1811,0.0000,0.3071,0.1890,254
2015,"JEFFERSON ES",10I019120,"Elementary School",0.2605,0.0958,0.0000,0.1648,0.0000,0.2567,0.2222,261
2016,"JEFFERSON ES",10I019120,"Elementary School",0.2392,0.1216,0.0000,0.1647,0.0039,0.2627,0.2078,255
2014,"LINCOLN ES",10I019125,"Elementary School",0.1483,0.1379,0.0138,0.1207,0.0069,0.4207,0.1517,290
2015,"LINCOLN ES",10I019125,"Elementary School",0.1673,0.1273,0.0109,0.1055,0.0036,0.4618,0.1236,275
2016,"LINCOLN ES",10I019125,"Elementary School",0.1533,0.1115,0.0139,0.1150,0.0000,0.4251,0.1812,287
2014,"WILL ROGERS ES",10I019135,"Elementary School",0.1620,0.0860,0.0120,0.1380,0.0040,0.4360,0.1620,500
2015,"WILL ROGERS ES",10I019135,"Elementary School",0.1426,0.1074,0.0165,0.1260,0.0041,0.4339,0.1694,484
2016,"WILL ROGERS ES",10I019135,"Elementary School",0.1929,0.0918,0.0188,0.1576,0.0000,0.4000,0.1388,425
2014,"ARKOMA HS",40I091715,"High School",0.0208,0.0521,0.0104,0.0313,0.0000,0.7083,0.1771,96
2015,"ARKOMA HS",40I091715,"High School",0.0297,0.0495,0.0099,0.0099,0.0000,0.7525,0.1485,101
2016,"ARKOMA HS",40I091715,"High School",0.0431,0.0517,0.0172,0.0000,0.0000,0.7500,0.1379,116
2015,"ARKOMA JHS",40I091605,"Middle School",0.0172,0.0172,0.0000,0.0000,0.0000,0.7069,0.2586,58
