Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2015,72I001305,72I001,MacARTHUR ELEMENTARY,57115.75,57723.51,0.09,0.23,0.49,1.09,0.26,0.59,0.15,447,23.29,42694.46,0.227,10.11,4,1,1.95,1
2016,72I001305,72I001,MacARTHUR ELEMENTARY,58190.81,60320.18,0.08,0.23,0.5,1.053,0.26,0.59,0.15,397,23.76,43883.52,0.211,11.95,3.76,1,2.03,1
2014,16I008715,16I008,MacARTHUR HIGH SCHOOL,54385,28862,0.1,0.19,0.48,0.38,0.19,0.69,0.12,1143,46.73,47957.97,0.439,17.67,16.94,4.85,2.2,5.71
2015,16I008715,16I008,MacARTHUR HIGH SCHOOL,55193.79,29845.71,0.1,0.2,0.47,0.413,0.2,0.69,0.11,1107,46.86,48229.75,0.428,18.25,17.01,4,2.7,4.94
2016,16I008715,16I008,MacARTHUR HIGH SCHOOL,55235.61,30828.06,0.09,0.2,0.43,0.428,0.2,0.69,0.11,1124,44.85,46416.4,0.33,14.77,15,3,2,5
2014,16I008530,16I008,MacARTHUR MIDDLE SCHOOL,54385,28862,0.1,0.19,0.48,0.48,0.19,0.69,0.12,736,36.69,46758.16,0.422,15.71,14.39,3,1.5,3.92
2015,16I008530,16I008,MacARTHUR MIDDLE SCHOOL,55193.79,29845.71,0.1,0.2,0.47,0.489,0.2,0.69,0.11,730,36.46,46435.84,0.347,14.56,15.39,3,1.5,3.43
2016,16I008530,16I008,MacARTHUR MIDDLE SCHOOL,55235.61,30828.06,0.09,0.2,0.43,0.553,0.2,0.69,0.11,788,37.38,46207.68,0.385,15,15.54,3,1.5,4
2014,63I004110,63I004,MACOMB ELEMENTARY,52751,27362,0.1,0.15,0.19,0.79,0.15,0.64,0.21,208,13.31,38709.71,0.225,7,1,0.09,0.29,1
2015,63I004110,63I004,MACOMB ELEMENTARY,47338.25,30623.76,0.1,0.24,0.17,0.792,0.15,0.66,0.2,183,12.12,40638.03,0.258,8.72,1.43,0.14,0.22,1
2016,63I004110,63I004,MACOMB ELEMENTARY,56123.44,29965.54,0.09,0.24,0.11,0.959,0.15,0.65,0.2,194,11.98,42881.54,0.429,12.67,1.57,0.14,0.22,1
2014,63I004705,63I004,MACOMB HIGH SCHOOL,52751,27362,0.1,0.15,0.19,0.72,0.15,0.64,0.21,114,8.24,40289.74,0.174,8,0.5,0.51,0.14,1
2015,63I004705,63I004,MACOMB HIGH SCHOOL,47338.25,30623.76,0.1,0.24,0.17,0.732,0.15,0.66,0.2,108,6.31,42160.8,0.161,8.6,0.43,0.43,0.21,1
2016,63I004705,63I004,MACOMB HIGH SCHOOL,56123.44,29965.54,0.09,0.24,0.11,0.68,0.15,0.65,0.2,103,5.36,43808.51,0.267,13.62,0.43,0.29,0.21,1
2014,45I002105,45I002,MADILL ELEMENTARY,49913,33578,0.08,0.15,0.25,0.79,0.16,0.61,0.23,921,47,43059.28,0.383,12.62,4.5,2.14,2,2
2015,45I002105,45I002,MADILL ELEMENTARY,52774.26,35361.07,0.07,0.14,0.26,0.7,0.15,0.63,0.22,901,47,43984.53,0.362,12.87,5,2.14,2,2
2016,45I002105,45I002,MADILL ELEMENTARY,52391.55,35843.18,0.06,0.14,0.3,0.784,0.14,0.63,0.23,886,47.98,44446.8,0.354,14.38,5,2.13,2,2
2014,45I002705,45I002,MADILL HIGH SCHOOL,49913,33578,0.08,0.15,0.25,0.67,0.16,0.61,0.23,476,32.13,45618.49,0.331,15.37,2,1.14,1,2.75
