,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory
629,2016,09I069120,MUSTANG TRAILS ES,75.0,80463.04,44100.02,0.04,0.06,0.25,0.423,0.25,0.68,0.07,709.0,37.5,44658.99,0.08,12.76,3.57,1.0,2.83,2.0,0.1213,0.0649,0.0606,0.0296,0.0014,0.615,0.1072,709.0,0.248,0.2,0.552,0.0891,0.19,0.7209,0.1264,0.21,0.6636,0.0258,0.14,0.8342,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
630,2016,09I069110,MUSTANG VALLEY ES,89.0,80463.04,44100.02,0.04,0.06,0.25,0.336,0.25,0.68,0.07,690.0,38.0,45400.53,0.21100000000000002,12.82,3.0,1.0,2.5,2.0,0.0855,0.0391,0.071,0.0145,0.0014,0.6709999999999999,0.1174,690.0,0.2812,0.24,0.4788,0.042,0.16,0.7979999999999999,0.3094,0.09,0.6006,0.046,0.08,0.8740000000000001,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
631,2016,09I069150,PRAIRIE VIEW ES,88.0,80463.04,44100.02,0.04,0.06,0.25,0.35,0.25,0.68,0.07,614.0,32.06,45812.0,0.237,13.49,2.04,1.0,3.95,2.0,0.1189,0.0326,0.0945,0.0375,0.0,0.6059,0.1107,614.0,0.32299999999999995,0.15,0.527,0.0174,0.13,0.8526,0.23399999999999999,0.1,0.6659999999999999,0.0258,0.14,0.8342,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
632,2016,09I022120,NORTHWOOD ES,90.0,96974.43,43118.98,0.03,0.04,0.16,0.258,0.44,0.5,0.06,465.0,26.43,42197.96,0.168,10.83,1.0,1.0,3.9,1.0,0.0882,0.0667,0.0624,0.0366,0.0043,0.6753,0.0667,465.0,0.45899999999999996,0.1,0.441,0.0344,0.14,0.8256,0.315,0.1,0.585,0.046,0.08,0.8740000000000001,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
633,2016,09I022105,PIEDMONT ES,88.0,96974.43,43118.98,0.03,0.04,0.16,0.228,0.44,0.5,0.06,469.0,25.42,42729.21,0.135,13.06,1.72,0.85,2.59,1.0,0.0917,0.0405,0.0043,0.0128,0.0,0.7591,0.0917,469.0,0.5208,0.07,0.4092,0.07200000000000001,0.1,0.828,0.2755,0.05,0.6745,0.019,0.05,0.9309999999999999,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
634,2016,09I022125,PIEDMONT INTERMEDIATE ES,82.0,96974.43,43118.98,0.03,0.04,0.16,0.221,0.44,0.5,0.06,525.0,27.26,43335.29,0.162,11.53,3.0,1.0,2.0,2.0,0.0781,0.12,0.0533,0.0267,0.0019,0.6933,0.0267,525.0,0.22113018714401952,0.2788771358828316,0.49999267697314886,0.02901929325751422,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.3293,0.11,0.5607,0.1218,0.13,0.7482,0.18,0.25,0.57,0.6279,0.09,0.2821
635,2016,09I022115,STONE RIDGE ES,89.0,96974.43,43118.98,0.03,0.04,0.16,0.139,0.44,0.5,0.06,503.0,27.0,42082.34,0.185,11.22,1.0,1.0,2.8,1.0,0.0636,0.0577,0.0636,0.0457,0.0,0.6918,0.0775,503.0,0.4094,0.11,0.4806,0.0637,0.09,0.8463,0.2024,0.12,0.6776,0.07200000000000001,0.1,0.828,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
636,2016,09I027105,CENTRAL ES,85.0,77882.61,42555.68,0.04,0.06,0.28,0.516,0.29,0.65,0.07,351.0,21.3,42677.61,0.249,7.92,3.5,1.0,4.0,1.0,0.1054,0.0513,0.0228,0.0142,0.0028,0.7493,0.0541,351.0,0.266,0.24,0.494,0.0172,0.14,0.8428,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
637,2016,09I027140,INDEPENDENCE ES,84.0,77882.61,42555.68,0.04,0.06,0.28,0.45799999999999996,0.29,0.65,0.07,631.0,29.35,45459.86,0.21600000000000003,11.11,4.0,2.0,3.0,2.0,0.1395,0.0571,0.0222,0.0285,0.0048,0.7211,0.0269,631.0,0.22113018714401952,0.2788771358828316,0.49999267697314886,0.02901929325751422,0.20329406986190088,0.7676866368805849,0.3458,0.09,0.5642,0.091,0.09,0.8190000000000001,0.4464,0.07,0.4836,0.126,0.1,0.774,0.2204,0.24,0.5396,0.4576,0.12,0.4224
638,2016,09I027145,LAKEVIEW ES,94.0,77882.61,42555.68,0.04,0.06,0.28,0.42200000000000004,0.29,0.65,0.07,581.0,29.35,46261.12,0.319,15.01,5.0,2.0,3.0,2.0,0.0912,0.0602,0.031,0.0275,0.0034,0.747,0.0396,581.0,0.22113018714401952,0.2788771358828316,0.49999267697314886,0.02901929325751422,0.20329406986190088,0.7676866368805849,0.4836,0.07,0.4464,0.081,0.1,0.8190000000000001,0.6486,0.06,0.2914,0.171,0.05,0.779,0.306,0.15,0.544,0.672,0.04,0.28800000000000003
