,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2566,2014,55I006505,DEER CREEK MS,90.0,A,143543.0,61770.0,0.05,0.03,0.11,0.09,0.59,0.39,0.02,758.0,37.31,45843.14,0.348,12.56,6.82,2.0,3.99,2.0,0.0449,0.0409,0.0528,0.0475,0.0013,0.8087,0.004,758.0
2567,2014,55I052505,CARL ALBERT MS,90.0,A,56232.0,34558.0,0.07,0.14,0.45,0.45,0.19,0.7,0.11,825.0,44.0,45920.16,0.22699999999999998,12.07,6.99,2.0,1.78,3.0,0.0606,0.1006,0.0145,0.1964,0.0061,0.5697,0.0521,825.0
2568,2015,55I052505,CARL ALBERT MS,86.0,B,55940.19,34534.37,0.08,0.16,0.46,0.465,0.2,0.69,0.11,852.0,47.0,46218.4,0.239,13.52,4.0,2.0,1.5,3.0,0.0692,0.0986,0.0129,0.2265,0.0059,0.5634,0.0235,852.0
2569,2015,55I089503,BELLE ISLE MS,96.0,A,53011.22,49735.22,0.08,0.27,0.47,0.424,0.22,0.55,0.22,450.0,23.28,48612.79,0.22699999999999998,8.23,0.2,1.0,2.2,2.0,0.2511,0.0356,0.0756,0.1867,0.0022,0.4378,0.0111,450.0
2570,2014,55I089508,CLASSEN MS OF ADVANCED STUDIES,100.0,A,51403.0,48041.0,0.09,0.27,0.47,0.32,0.21,0.56,0.23,461.0,16.48,50832.13,0.485,15.27,2.0,1.0,0.79,1.41,0.1844,0.0499,0.1258,0.1432,0.0022,0.4881,0.0065,461.0
2571,2015,55I089508,CLASSEN MS OF ADVANCED STUDIES,93.0,A,53011.22,49735.22,0.08,0.27,0.47,0.34600000000000003,0.22,0.55,0.22,431.0,15.83,54926.93,0.564,16.16,1.0,1.0,0.79,1.5,0.174,0.0534,0.1346,0.1346,0.0023,0.4896,0.0116,431.0
2572,2014,55I001520,COOPER MS,71.0,C,62910.0,48980.0,0.06,0.16,0.42,0.77,0.32,0.57,0.11,670.0,42.0,47890.07,0.214,10.6,5.0,2.0,3.33,3.0,0.1373,0.0254,0.0776,0.3851,0.0075,0.3104,0.0567,670.0
2573,2014,55I001530,HEFNER MS,77.0,C,62910.0,48980.0,0.06,0.16,0.42,0.61,0.32,0.57,0.11,1088.0,61.17,47262.9,0.267,9.95,8.0,2.91,5.0,3.0,0.0873,0.034,0.0561,0.3134,0.0018,0.4375,0.0699,1088.0
2574,2015,55I001530,HEFNER MS,79.0,C,63282.81,50214.98,0.06,0.17,0.4,0.616,0.32,0.58,0.11,1074.0,61.02,47277.86,0.213,10.33,9.0,3.0,5.5,3.0,0.094,0.0261,0.0577,0.3231,0.0009,0.4255,0.0726,1074.0
2575,2015,57I029615,BARNSDALL JHS,65.0,D,56309.2,53627.11,0.02,0.14,0.29,0.6629999999999999,0.15,0.74,0.11,89.0,4.56,40309.33,0.31,9.54,0.5,0.5,0.29,0.93,0.0337,0.0,0.0,0.0,0.0,0.3933,0.573,89.0
