,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory
1631,2016,48I074505,RECTOR JOHNSON MS,72,42598.69,31792.65,0.09,0.24,0.41,0.8190000000000001,0.12,0.69,0.19,337,20.92,41899.06,0.126,11.31,3.0,1.0,4.43,2.0,0.092,0.3264,0.003,0.092,0.0386,0.4481,0.0,337.0,0.0825,0.25,0.6675,0.0192,0.36,0.6208,0.1494,0.17,0.6806,0.1462,0.14,0.7138,0.078,0.48,0.442,0.16399999999999998,0.18,0.6559999999999999,0.1246,0.11,0.7654,0.2352,0.16,0.6048,0.46,0.0,0.54
1632,2016,58I018505,COMMERCE MS,63,38429.82,25304.12,0.13,0.27,0.43,0.856,0.1,0.67,0.23,195,11.33,46374.83,0.20600000000000002,16.76,1.5,1.0,0.5,1.0,0.2462,0.3282,0.0,0.0051,0.0,0.3795,0.040999999999999995,195.0,0.1704,0.29,0.5396,0.0,0.36,0.64,0.1817,0.21,0.6083,0.1428,0.32,0.5372,0.2001,0.31,0.4899,0.0576,0.28,0.6624,0.1316,0.06,0.8084,0.0798,0.43,0.4902,0.7,0.0,0.3
1633,2016,53I040505,NOWATA MS,75,47637.32,31061.21,0.07,0.21,0.34,0.7829999999999999,0.13,0.71,0.16,207,13.28,45111.4,0.163,13.91,0.69,0.5,0.83,1.0,0.0338,0.5507,0.0,0.0483,0.0,0.3623,0.0048,207.0,0.3772,0.08,0.5428,0.0704,0.12,0.8096,0.1512,0.28,0.5688,0.0936,0.28,0.6264,0.1365,0.35,0.5135,0.1924,0.26,0.5476,0.0395,0.21,0.7505,0.0,0.42,0.58,,,
1645,2016,06I009615,OKEENE JR-SR HS (JR),60,56344.17,76510.06,0.02,0.09,0.32,0.667,0.19,0.67,0.13,42,3.96,39251.64,0.084,15.82,0.42,0.5,0.25,0.38,0.1905,0.0238,0.0,0.0,0.0,0.7619,0.0238,42.0,,,,,,,0.08,0.2,0.72,0.0,0.2,0.8,0.1139,0.33,0.5561,0.1914,0.42,0.3886,0.0,0.33,0.67,0.0,0.67,0.33,,,
1646,2016,06I042505,WATONGA MS,80,53328.31,53908.56,0.02,0.22,0.39,0.737,0.12,0.71,0.17,156,10.83,44822.08,0.303,14.86,1.0,0.25,0.33,1.0,0.1795,0.0962,0.0064,0.0256,0.0,0.5513,0.141,156.0,0.4559,0.03,0.5141,0.0,0.09,0.91,0.2975,0.15,0.5525,0.153,0.15,0.6970000000000001,0.1008,0.37,0.5292,0.2184,0.22,0.5616,0.3069,0.07,0.6231,0.1554,0.26,0.5846,,,
1648,2016,08I056505,APACHE MS,65,57878.19,43627.17,0.13,0.17,0.37,0.741,0.19,0.68,0.13,139,8.14,50324.08,0.33299999999999996,21.4,0.5,0.14,0.29,0.71,0.1295,0.3237,0.0,0.0,0.0,0.4173,0.1295,139.0,0.1846,0.29,0.5254,0.0,0.31,0.69,0.09300000000000001,0.38,0.527,0.0897,0.31,0.6003,0.126,0.3,0.574,0.126,0.37,0.504,0.0756,0.16,0.7644,0.0275,0.45,0.5225,,,
1650,2016,09I076610,CALUMET JHS,66,85273.81,281839.77,0.06,0.13,0.33,0.7140000000000001,0.18,0.7,0.12,42,2.72,37095.73,0.263,10.95,0.71,0.14,0.14,0.46,0.0952,0.1667,0.0,0.0,0.0,0.6429,0.0952,42.0,,,,,,,0.0225,0.55,0.4275,0.04,0.2,0.76,0.0114,0.81,0.1786,0.2325,0.25,0.5175,0.1786,0.06,0.7614,0.1064,0.44,0.4536,,,
1663,2016,17I001505,WALTERS MS,67,54331.73,25387.82,0.09,0.18,0.34,0.649,0.17,0.69,0.14,148,10.44,39467.2,0.13,11.82,0.53,0.1,0.29,0.87,0.0541,0.1959,0.0135,0.0135,0.0,0.5473,0.1757,148.0,0.1088,0.32,0.5712,0.055999999999999994,0.3,0.644,0.1216,0.24,0.6384,0.1066,0.18,0.7134,0.077,0.3,0.623,0.114,0.24,0.6459999999999999,0.042,0.16,0.7979999999999999,0.0472,0.41,0.5428,,,
1664,2016,19I039505,VIRGIL COOPER MS,68,52615.62,35121.47,0.06,0.15,0.44,0.897,0.17,0.67,0.15,107,8.67,44818.76,0.0,15.5,0.98,0.0,0.42,1.0,0.0561,0.0841,0.0187,0.0187,0.0,0.7664,0.0561,107.0,0.146,0.27,0.584,0.055999999999999994,0.2,0.7440000000000001,0.2813,0.03,0.6887,0.1053,0.19,0.7047,0.1098,0.39,0.5002,0.0924,0.23,0.6776,0.0378,0.46,0.5022,0.0147,0.79,0.1953,,,
1668,2016,21I003505,KANSAS MS,66,48605.39,15275.0,0.14,0.22,0.21,0.77,0.11,0.72,0.17,178,11.0,42655.73,0.23399999999999999,15.69,2.29,1.0,0.43,1.0,0.0056,0.5393,0.0169,0.0112,0.0,0.4101,0.0169,178.0,0.0448,0.44,0.5152,0.0,0.25,0.75,0.0832,0.36,0.5568,0.1785,0.15,0.6715,0.0682,0.38,0.5518,0.0405,0.55,0.4095,0.2632,0.06,0.6768,0.0558,0.38,0.5642,,,
1676,2016,24I056610,PIONEER-PLEASANT VALE JHS,68,54854.5,177150.61,0.06,0.19,0.42,0.627,0.13,0.68,0.19,75,7.96,45703.61,0.17600000000000002,13.43,1.0,0.5,0.76,0.43,0.1733,0.04,0.0,0.0133,0.0133,0.7333,0.0267,75.0,,,,,,,0.027999999999999997,0.3,0.672,0.0312,0.22,0.7488,0.2079,0.23,0.5621,0.2387,0.23,0.5313,0.0584,0.27,0.6716,0.0504,0.58,0.3696,,,
1677,2016,25I009505,LINDSAY MS,78,59504.84,63678.71,0.05,0.16,0.25,0.512,0.12,0.74,0.14,262,15.58,42741.2,0.17600000000000002,13.72,2.0,1.0,0.5,1.0,0.0687,0.1908,0.0038,0.0,0.0,0.7328,0.0038,262.0,0.1312,0.18,0.6888,0.0231,0.23,0.7469,0.205,0.18,0.615,0.2116,0.08,0.7084,0.2002,0.23,0.5698,0.2697,0.07,0.6603,0.228,0.05,0.722,0.1314,0.27,0.5986,1.0,0.0,0.0
1678,2016,25I038500,WYNNEWOOD MS,62,54912.53,133734.25,0.04,0.16,0.31,0.53,0.16,0.71,0.12,200,14.83,44150.08,0.326,15.49,1.67,1.0,0.33,1.0,0.07,0.19,0.005,0.055,0.005,0.615,0.06,200.0,0.1026,0.43,0.4674,0.03,0.25,0.72,0.042,0.4,0.5579999999999999,0.1909,0.17,0.6391,0.1116,0.38,0.5084,0.1863,0.31,0.5037,0.0801,0.11,0.8099,0.078,0.4,0.522,,,
1681,2016,28I001510,MANGUM MS,70,51240.81,22423.05,0.05,0.15,0.27,0.7,0.15,0.69,0.16,233,14.59,45255.38,0.40399999999999997,15.7,1.0,0.33,0.43,1.0,0.2618,0.0,0.0,0.0258,0.0,0.6524,0.0601,233.0,0.3154,0.17,0.5146,0.0395,0.21,0.7505,0.198,0.1,0.7020000000000001,0.16,0.2,0.64,0.1265,0.45,0.4235,0.1302,0.38,0.4898,0.3264,0.04,0.6336,0.0612,0.32,0.6188,,,
1682,2016,29I066510,HOLLIS MS,60,48638.4,37926.2,0.08,0.17,0.33,0.778,0.23,0.56,0.21,99,8.17,43702.27,0.204,15.63,1.0,0.25,0.56,0.5,0.40399999999999997,0.0202,0.0,0.0909,0.0,0.3535,0.1313,99.0,0.475,0.05,0.475,0.09,0.1,0.81,0.0,0.15,0.85,0.08,0.2,0.72,0.0116,0.71,0.2784,0.0273,0.61,0.3627,0.0553,0.21,0.7347,0.0273,0.61,0.3627,,,
