RecordNumber,YR,SchoolCode,DistrictCode,Site,ReadingRemediation,PTConfAttendence,AvgDaysAbsent,Mobility,SuspRatioLess10,SuspRatioGreat10,AvgVolunteerHrs,FRL,SpecialEd
,2015,67I001110,67I001,NORTHWOOD ELEMENTARY,0,0.79,9.5387,0.06557,46,,0.35598,0.6196,0.1957
,2015,67I001505,67I001,SEMINOLE MIDDLE SCHOOL,0,0.65,10.2397,0.10484,5.86364,,1.27132,0.6667,0.1977
,2015,67I001715,67I001,SEMINOLE HIGH SCHOOL,0,0.3,16.0228,0.08804,5.01087,51.22222,0.03471,0.5597,0.1497
,2015,67I002105,67I002,WEWOKA ELEMENTARY,0.4612,0.75,12.4989,0.22969,,,0.07508,0.8799,0.2312
,2015,67I002110,67I002,WEWOKA LEARNING CENTER,0,0.83,8.5626,0.10891,107,,7.28972,0.8972,0.1776
,2015,67I002510,67I002,WEWOKA MIDDLE SCHOOL,0,0.73,11.9322,0.35135,,,7.64706,0.8529,0.1961
,2015,67I002705,67I002,WEWOKA HIGH SCHOOL,0,0.65,15.9336,0.34685,5.15909,56.75,0.32159,0.7577,0.2731
,2015,67I003105,67I003,BOWLEGS ELEMENTARY,0.5783,0.93,10.8028,0.16588,66.66667,,1.115,0.82,0.215
,2015,67I003705,67I003,BOWLEGS HIGH SCHOOL,0,0.87,9.9112,0.10127,45,22.5,0.77778,0.7111,0.2222
,2015,67I004105,67I004,KONAWA ELEMENTARY,0.3267,0.8,9.3361,0.06785,38.88889,,2,0.7771,0.1914
,2015,67I004510,67I004,KONAWA MIDDLE SCHOOL,0,0.638,6.6785,0.05294,6.65385,86.5,0.43353,0.7514,0.185
,2015,67I004705,67I004,KONAWA HIGH SCHOOL,0,0.54,7.4736,0.07614,10.72222,38.6,0.64767,0.5285,0.0933
,2015,67I006110,67I006,NEW LIMA ELEMENTARY,0.2877,0.79,9.5223,0.11823,14.21429,,0.02513,0.8543,0.1608
,2015,67I006705,67I006,NEW LIMA HIGH SCHOOL,0,0.49,8.7212,0.05814,3.44444,46.5,6.45161,0.7742,0.2043
,2015,67I007105,67I007,VARNUM ELEMENTARY,0.3478,0.93,9.3122,0.1036,43.6,,2.29358,0.7064,0.1972
,2015,67I007705,67I007,VARNUM HIGH SCHOOL,0,0.45,8.456,0.02778,25,75,0.53333,0.6933,0.08
,2015,67I010105,67I010,SASAKWA ELEMENTARY,0.0816,0.4,12.6343,0.18987,10.66667,,1.25,1.0438,0.2
,2015,67I010705,67I010,SASAKWA HIGH SCHOOL,0,0.2,12.2671,0.1,8.625,,1.95652,0.9565,0.2029
,2015,67I014105,67I014,STROTHER ELEMENTARY,0.5859,0.75,9.5471,0.17763,20.86667,,0.51118,0.722,0.2268
,2015,67I014705,67I014,STROTHER HIGH SCHOOL,0,0.4,8.5592,0.23077,24,40,0.25,0.6417,0.15
,2015,67I015105,67I015,BUTNER ELEMENTARY,0.3425,0.98,8.9741,0.1573,7.72727,170,1.47059,0.7765,0.2941
