,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory
370,2015,75I078705,CORDELL HS,102,61914.21,48225.36,0.03,0.12,0.26,0.43700000000000006,0.19,0.7,0.11,142,16.1,40173.65,0.09300000000000001,11.9,0.5,0.5,0.66,1.03,0.1056,0.0704,0.006999999999999999,0.0,0.0,0.8028,0.0141,142.0,,,,0.1659,0.21,0.6241,0.2482,0.27,0.4818,0.3822,0.02,0.5978,0.3492,0.03,0.6208,0.3196,0.06,0.6204,0.267,0.11,0.623
371,2015,26I097705,TUTTLE HS,101,76942.34,37335.22,0.04,0.09,0.21,0.18100000000000002,0.18,0.72,0.1,509,33.51,42070.81,0.23399999999999999,12.94,2.0,1.18,0.55,3.0,0.0452,0.1356,0.0118,0.0039,0.002,0.7957,0.0059,509.0,0.418,0.05,0.532,0.3496,0.08,0.5704,0.2204,0.24,0.5396,0.39,0.0,0.61,0.4455,0.01,0.5445,0.5472,0.04,0.4128,0.5115,0.07,0.4185
372,2015,63I003705,BETHEL HS,94,72417.41,19837.75,0.05,0.11,0.2,0.436,0.16,0.76,0.07,399,24.03,41760.35,0.15,9.53,2.0,1.0,0.33,1.62,0.0226,0.2256,0.005,0.0125,0.0,0.7293,0.005,399.0,0.3999,0.07,0.5301,0.4176,0.13,0.4524,0.3071,0.17,0.5229,0.32899999999999996,0.06,0.611,0.3104,0.03,0.6596,0.6048,0.04,0.3552,0.4042,0.14,0.4558
373,2016,10I077705,DICKSON HS,79,66259.98,31328.93,0.08,0.11,0.28,0.509,0.2,0.7,0.11,375,23.63,42586.47,0.262,16.64,1.25,1.0,0.75,1.25,0.0213,0.2453,0.008,0.016,0.0,0.6559999999999999,0.0533,375.0,0.077,0.3,0.623,0.4888,0.06,0.4512,0.0708,0.41,0.5192,0.1027,0.21,0.6873,0.297,0.1,0.603,0.3458,0.09,0.5642,0.1775,0.29,0.5325
374,2015,24I042705,CHISHOLM HS,101,87154.52,63427.88,0.04,0.07,0.21,0.28,0.27,0.64,0.09,296,18.63,44764.04,0.261,17.46,1.98,0.86,0.79,1.86,0.0507,0.0169,0.0101,0.0203,0.0135,0.8885,0.0,296.0,0.2047,0.11,0.6853,0.3724,0.02,0.6076,0.2625,0.25,0.4875,0.4324,0.06,0.5076,0.4214,0.02,0.5586,0.5358,0.06,0.4042,0.506,0.08,0.414
375,2014,34I001705,RYAN HS,84,44217.0,26106.0,0.09,0.16,0.49,0.65,0.1,0.66,0.24,103,8.81,46782.15,0.239,21.04,0.5,0.25,0.38,0.5,0.1845,0.068,0.0194,0.0291,0.0,0.6796,0.0194,103.0,0.0414,0.31,0.6486,0.12,0.4,0.48,0.0536,0.33,0.6164,0.1209,0.07,0.8091,0.5,0.0,0.5,0.042,0.16,0.7979999999999999,0.0912,0.24,0.6688
376,2016,12I002705,FORT TOWSON HS,68,45733.17,38223.7,0.1,0.26,0.35,0.795,0.14,0.71,0.15,166,9.89,43359.38,0.426,10.53,1.0,0.36,0.36,0.5,0.0361,0.24100000000000002,0.006,0.0301,0.0,0.6506,0.0361,166.0,0.0276,0.54,0.4324,0.0,0.9,0.1,0.013999999999999999,0.65,0.336,0.0,0.22,0.78,0.11699999999999999,0.1,0.7829999999999999,0.0,0.3,0.7,0.0156,0.74,0.2444
377,2016,37I016705,HENNESSEY HS,86,76709.35,48147.91,0.04,0.07,0.38,0.863,0.16,0.64,0.2,262,17.65,42390.93,0.275,15.01,1.0,1.0,0.57,1.0,0.4656,0.0573,0.0,0.0115,0.0,0.4656,0.0,262.0,0.2232,0.07,0.7068,0.1653,0.13,0.7047,0.0702,0.46,0.4698,0.11699999999999999,0.1,0.7829999999999999,0.1176,0.02,0.8624,0.2322,0.14,0.6278,0.054000000000000006,0.4,0.546
378,2015,19I017715,OLIVE HS,79,57100.91,27281.96,0.07,0.15,0.24,0.491,0.11,0.79,0.11,106,9.43,44783.73,0.591,15.38,1.0,0.5,0.5,0.86,0.0094,0.1604,0.0094,0.0,0.0,0.8019,0.0189,106.0,0.0,0.36,0.64,0.0,0.54,0.46,0.0,0.5,0.5,,,,0.1955,0.15,0.6545,,,,0.1875,0.25,0.5625
379,2014,12I002705,FORT TOWSON HS,64,39303.0,37958.0,0.14,0.22,0.37,0.8,0.14,0.67,0.19,152,10.93,41669.29,0.32,8.94,1.0,0.5,0.5,1.0,0.0263,0.2105,0.0,0.0329,0.0066,0.6908,0.0329,152.0,0.0234,0.61,0.3666,0.0,0.76,0.24,0.0,0.78,0.22,0.079,0.21,0.711,0.1275,0.15,0.7225,0.0728,0.48,0.4472,0.0364,0.48,0.4836
380,2016,07I048705,CALERA HS,83,57694.71,49686.65,0.07,0.12,0.22,0.672,0.19,0.72,0.09,195,12.72,45438.93,0.461,14.92,1.0,1.0,0.79,1.0,0.0205,0.3179,0.0205,0.0,0.0,0.5692,0.0718,195.0,0.3367,0.09,0.5733,0.0,0.7,0.3,0.1512,0.37,0.4788,0.1027,0.21,0.6873,0.3072,0.04,0.6528,0.0,0.53,0.47,0.1704,0.29,0.5396
381,2015,62I001705,ALLEN HS,91,57717.61,49274.93,0.08,0.17,0.28,0.79,0.13,0.69,0.18,138,8.65,42576.71,0.633,10.03,0.5,0.43,0.33,0.5,0.028999999999999998,0.3043,0.0,0.0,0.0,0.6667,0.0,138.0,0.4224,0.12,0.4576,0.46,0.08,0.46,0.0455,0.65,0.3045,0.35100000000000003,0.1,0.5489999999999999,0.29100000000000004,0.03,0.679,0.4048,0.12,0.4752,0.1064,0.24,0.6536
382,2015,03I019705,TUSHKA HS,89,48701.64,30340.56,0.13,0.17,0.34,0.575,0.15,0.72,0.13,181,11.47,44714.87,0.39,15.86,1.0,0.33,0.37,1.0,0.0166,0.3149,0.0055,0.0,0.0,0.6519,0.011000000000000001,181.0,0.2688,0.16,0.5712,0.2813,0.03,0.6887,0.069,0.31,0.621,0.2883,0.07,0.6417,0.44,0.0,0.56,0.6693,0.03,0.3007,0.75,0.0,0.25
383,2016,62I009705,VANOSS HS,91,57232.8,32290.53,0.09,0.13,0.2,0.628,0.19,0.66,0.15,156,11.28,45468.0,0.595,15.28,1.0,1.0,0.43,1.0,0.0577,0.3205,0.0064,0.0192,0.0,0.5833,0.0128,156.0,0.2304,0.04,0.7296,0.3549,0.09,0.5551,0.0944,0.41,0.4956,0.1974,0.06,0.7426,0.3864,0.08,0.5336,0.1539,0.19,0.6561,0.2905,0.17,0.5395
384,2014,50I010705,DAVIS HS,95,55900.0,30587.0,0.04,0.12,0.28,0.37,0.21,0.66,0.13,273,17.6,43325.64,0.196,17.18,1.17,1.5,0.58,1.0,0.033,0.2601,0.0073,0.0476,0.0,0.652,0.0,273.0,0.12,0.25,0.63,0.0814,0.26,0.6586,0.0196,0.51,0.4704,0.1395,0.07,0.7905,0.31,0.0,0.69,0.32899999999999996,0.06,0.611,0.3828,0.13,0.4872
385,2016,32I035705,HOLDENVILLE HS,72,45457.09,37255.85,0.07,0.2,0.43,0.647,0.1,0.65,0.25,283,21.37,41407.38,0.47200000000000003,12.19,2.71,0.86,1.34,0.86,0.0813,0.3286,0.0,0.0495,0.0,0.5406,0.0,283.0,0.0198,0.34,0.6402,0.1224,0.28,0.5976,0.0135,0.55,0.4365,0.0438,0.27,0.6862,0.0712,0.11,0.8188,0.2465,0.15,0.6035,0.0385,0.45,0.5115
386,2016,40I026715,BOKOSHE HS,61,44737.35,26431.65,0.12,0.28,0.43,0.9129999999999999,0.09,0.73,0.18,46,3.86,42796.42,0.63,12.52,0.29,0.29,0.14,0.29,0.0217,0.2609,0.0217,0.0,0.0,0.5870000000000001,0.1087,46.0,,,,,,,,,,0.0,0.33,0.67,0.27,0.0,0.73,0.0371,0.47,0.4929,0.0714,0.58,0.3486
387,2014,68I004715,GANS HS,63,48990.0,14784.0,0.11,0.17,0.28,0.78,0.13,0.67,0.19,125,8.28,41038.03,0.0,8.07,0.0,0.43,0.57,0.57,0.032,0.36,0.016,0.016,0.008,0.56,0.008,125.0,0.09,0.4,0.51,0.18600000000000003,0.07,0.7440000000000001,0.04,0.6,0.36,0.2225,0.11,0.6675,0.1764,0.16,0.6636,0.2739,0.17,0.5561,0.4183,0.11,0.4717
388,2014,60I016705,STILLWATER HS,99,51532.0,58101.0,0.06,0.31,0.31,0.36,0.48,0.46,0.06,1101,58.57,49132.86,0.539,15.57,10.41,3.9,3.5,6.0,0.059000000000000004,0.0291,0.03,0.0536,0.0018,0.7121,0.1144,1101.0,0.03,0.7,0.27,0.4418,0.06,0.4982,0.2652,0.22,0.5148,0.4128,0.04,0.5472,0.4171,0.03,0.5529,0.5264,0.06,0.4136,0.6528,0.04,0.3072
